site,season,var,index,point,ci_lo,ci_hi,n_boot,med_normal,med_soil_dry,med_atm_dry,med_compound
Oran,growing,LE_corr,SDS,0.3119959285866839,0.2108872817043218,0.4115876116824996,5000,24.458347008160985,16.827442321654456,85.55409206554043,43.43339667819512
Oran,growing,LE_corr,VAS,2.4979507011243935,1.9179128357268787,3.0099324170199386,5000,24.458347008160985,16.827442321654456,85.55409206554043,43.43339667819512
Oran,growing,LE_corr,DSO,1.5811050692060729,1.2695686829364332,1.86823241139756,5000,24.458347008160985,16.827442321654456,85.55409206554043,43.43339667819512
Oran,growing,LE_corr,CompoundDrop,-0.775810796359327,-1.0379361571046042,-0.49489373794448555,5000,24.458347008160985,16.827442321654456,85.55409206554043,43.43339667819512
Oran,growing,EF_corr,SDS,0.343940023646595,0.2412530007200825,0.43478797381110057,5000,0.564900113748421,0.3706083552678249,0.6153984138114598,0.32625789860644067
Oran,growing,EF_corr,VAS,0.08939332606601011,-0.03729904818057121,0.21326845424612695,5000,0.564900113748421,0.3706083552678249,0.6153984138114598,0.32625789860644067
Oran,growing,EF_corr,DSO,-0.11966933834865591,-0.2594303673188834,0.03568546079103174,5000,0.564900113748421,0.3706083552678249,0.6153984138114598,0.32625789860644067
Oran,growing,EF_corr,CompoundDrop,0.4224502869338418,0.3373018530464213,0.5033890773875062,5000,0.564900113748421,0.3706083552678249,0.6153984138114598,0.32625789860644067
Oran,growing,Bowen_corr,SDS,-1.3982658687074128,-1.9854318533215052,-0.7794397322044911,5000,0.6568664692945801,1.5753404336075374,0.5898651512345623,2.057733147712321
Oran,growing,Bowen_corr,VAS,-0.10200142828415597,-0.3067684842611414,0.15045062303157186,5000,0.6568664692945801,1.5753404336075374,0.5898651512345623,2.057733147712321
Oran,growing,Bowen_corr,DSO,0.3062149004835112,0.024106388393446896,0.7262710921104455,5000,0.6568664692945801,1.5753404336075374,0.5898651512345623,2.057733147712321
Oran,growing,Bowen_corr,CompoundDrop,-2.132650613026655,-2.8674123209187665,-1.4652576221884048,5000,0.6568664692945801,1.5753404336075374,0.5898651512345623,2.057733147712321
Oran,growing,ET,SDS,0.2321569782061793,0.1364891643171495,0.31435854161068744,5000,1.1429164403063146,0.8775804131826375,3.835458711856334,2.2047508146231625
Oran,growing,ET,VAS,2.355852253580662,2.02236659503967,2.823581239981333,5000,1.1429164403063146,0.8775804131826375,3.835458711856334,2.2047508146231625
Oran,growing,ET,DSO,1.5123063157567547,1.232898518452466,1.8056906619639592,5000,1.1429164403063146,0.8775804131826375,3.835458711856334,2.2047508146231625
Oran,growing,ET,CompoundDrop,-0.9290568731623672,-1.1535318469690494,-0.7259559584960203,5000,1.1429164403063146,0.8775804131826375,3.835458711856334,2.2047508146231625
Oran,non_growing,LE_corr,SDS,0.5174333613487692,0.325158074122433,0.7009713888129141,5000,29.094661364164324,14.040112937200611,25.504255133238956,18.08677723924453
Oran,non_growing,LE_corr,VAS,-0.12340429695970423,-0.4157108060636214,0.3950519033056149,5000,29.094661364164324,14.040112937200611,25.504255133238956,18.08677723924453
Oran,non_growing,LE_corr,DSO,0.2882216346936852,-0.08725952251410826,1.3363222086347786,5000,29.094661364164324,14.040112937200611,25.504255133238956,18.08677723924453
Oran,non_growing,LE_corr,CompoundDrop,0.3783472159080746,0.11583809076535075,0.49427646599963676,5000,29.094661364164324,14.040112937200611,25.504255133238956,18.08677723924453
Oran,non_growing,EF_corr,SDS,0.6760724068002609,0.5836949903529532,0.7844889307528898,5000,0.33842166985627586,0.10962411700318013,0.17773622487243834,0.1406886822111168
Oran,non_growing,EF_corr,VAS,-0.4748083804801239,-0.6389376954373376,-0.08468560580665867,5000,0.33842166985627586,0.10962411700318013,0.17773622487243834,0.1406886822111168
Oran,non_growing,EF_corr,DSO,0.2833734588442387,-0.01504737592908746,0.976037961580301,4999,0.33842166985627586,0.10962411700318013,0.17773622487243834,0.1406886822111168
Oran,non_growing,EF_corr,CompoundDrop,0.5842799243001614,0.45806116388063894,0.6586831401316385,5000,0.33842166985627586,0.10962411700318013,0.17773622487243834,0.1406886822111168
Oran,non_growing,Bowen_corr,SDS,-2.999223665952982,-4.238953796899044,-1.6652397071476615,5000,1.883565397187911,7.532799312804022,4.630953441169111,5.365305545151462
Oran,non_growing,Bowen_corr,VAS,1.4586103822479126,0.18475442769346428,2.726560995175958,5000,1.883565397187911,7.532799312804022,4.630953441169111,5.365305545151462
Oran,non_growing,Bowen_corr,DSO,-0.28774080891393455,-0.5132362681614064,0.0651532720052723,5000,1.883565397187911,7.532799312804022,4.630953441169111,5.365305545151462
Oran,non_growing,Bowen_corr,CompoundDrop,-1.84848381328392,-2.73586086753196,-0.9743873930911878,5000,1.883565397187911,7.532799312804022,4.630953441169111,5.365305545151462
Oran,non_growing,ET,SDS,0.40612423911457673,0.18497163466133507,0.5928912685991895,5000,1.380324790087493,0.8197414349822221,1.3356476263693842,1.0039143468131209
Oran,non_growing,ET,VAS,-0.03236713854518039,-0.4921484063949797,0.5143838326222913,5000,1.380324790087493,0.8197414349822221,1.3356476263693842,1.0039143468131209
Oran,non_growing,ET,DSO,0.22467195626739667,-0.1877989338118266,0.8348353684242308,5000,1.380324790087493,0.8197414349822221,1.3356476263693842,1.0039143468131209
Oran,non_growing,ET,CompoundDrop,0.27269701013666003,0.0730363321904134,0.4609578869296433,5000,1.380324790087493,0.8197414349822221,1.3356476263693842,1.0039143468131209
Tarazona,growing,LE_corr,SDS,0.0509652636540208,-0.06459896253149988,0.1471134839286372,5000,93.30736387424737,88.5519294735347,202.19505271276358,178.45025144587476
Tarazona,growing,LE_corr,VAS,1.1669785139923878,0.9572852224976748,1.3555963370133577,5000,93.30736387424737,88.5519294735347,202.19505271276358,178.45025144587476
Tarazona,growing,LE_corr,DSO,1.015204552930806,0.7817823390818611,1.2118240451850875,5000,93.30736387424737,88.5519294735347,202.19505271276358,178.45025144587476
Tarazona,growing,LE_corr,CompoundDrop,-0.9124991215739043,-1.1057385648401166,-0.6971074277050088,5000,93.30736387424737,88.5519294735347,202.19505271276358,178.45025144587476
Tarazona,growing,EF_corr,SDS,0.07263482591935537,-0.002721837629886371,0.13715225714654738,5000,0.6781409123387846,0.6288842652222641,0.916130159960993,0.8553118761713476
Tarazona,growing,EF_corr,VAS,0.35094365093152513,0.2635679803338845,0.4385045242418812,5000,0.6781409123387846,0.6288842652222641,0.916130159960993,0.8553118761713476
Tarazona,growing,EF_corr,DSO,0.3600465514414771,0.26319575867694517,0.4764974485408206,5000,0.6781409123387846,0.6288842652222641,0.916130159960993,0.8553118761713476
Tarazona,growing,EF_corr,CompoundDrop,-0.26125980693530587,-0.36575041831745847,-0.18039750875943494,5000,0.6781409123387846,0.6288842652222641,0.916130159960993,0.8553118761713476
Tarazona,growing,Bowen_corr,SDS,-0.24494612704262217,-0.605977333290281,0.0014934008298453157,5000,0.44905203873761057,0.5590455964669818,0.08657944708342952,0.16331520872627636
Tarazona,growing,Bowen_corr,VAS,-0.8071950695807452,-0.9081449389983873,-0.6854199306377717,5000,0.44905203873761057,0.5590455964669818,0.08657944708342952,0.16331520872627636
Tarazona,growing,Bowen_corr,DSO,-0.7078678201592417,-0.8167845596990104,-0.5917822451811549,5000,0.44905203873761057,0.5590455964669818,0.08657944708342952,0.16331520872627636
Tarazona,growing,Bowen_corr,CompoundDrop,0.6363111741227291,0.47644556569712426,0.7695358904057836,5000,0.44905203873761057,0.5590455964669818,0.08657944708342952,0.16331520872627636
Tarazona,growing,ET,SDS,-0.050860085537174596,-0.26676347840385617,0.10020151382592118,5000,4.11441461,4.323674089000001,8.096462240000001,8.554985849000001
Tarazona,growing,ET,VAS,0.9678284780346921,0.6629956475805578,1.2995483356201671,5000,4.11441461,4.323674089000001,8.096462240000001,8.554985849000001
Tarazona,growing,ET,DSO,0.9786379992805234,0.6867599375758776,1.2483416223823007,5000,4.11441461,4.323674089000001,8.096462240000001,8.554985849000001
Tarazona,growing,ET,CompoundDrop,-1.0792716971710348,-1.4629189388027708,-0.7519087623434629,5000,4.11441461,4.323674089000001,8.096462240000001,8.554985849000001
Tarazona,non_growing,LE_corr,SDS,0.8439932853155926,0.6157141826803203,0.9460648995821163,5000,67.17057587065814,10.47906086504111,39.75069344313789,25.15819784277918
