site,tau_ec,se_ec,tau_bias,tau_se_bias,tau_ci_lo,tau_ci_hi,a_Wm2,a_ci_lo,a_ci_hi,c_Wm2,c_ci_lo,c_ci_hi,n_events,r2,valid,reason,MDE,diff,significant_diff
Oran,2.82,0.9,0.826151920893094,0.3786142897595245,0.7547709381198291,2.057382849793246,15.422915199821611,10.682328553885794,18.846290023006105,-6.715325645869705,-9.454594637693718,-4.887361512279254,34,0.8278465210017749,True,OK,1.9137357902342413,1.9938480791069058,True
Tarazona,3.36,0.62,4.567124067730713,2.4138854192395556,3.0322337205701246,13.096101324934702,94.80292759070451,70.11753297603074,121.1993307825157,99.87920665104579,52.317017572670736,111.9503647766512,48,0.8621149175575669,True,OK,4.884783557807047,1.2071240677307133,False
