date,site,GPP_mgpp,qflag
2019-01-01,Oran,0.9500000000000001,2.0
2019-01-01,TzM,0.55,4.0
2019-01-11,Oran,0.71,3.0
2019-01-11,TzM,0.43,1.0
2019-01-21,Oran,0.8200000000000001,2.0
2019-01-21,TzM,0.44,3.0
2019-02-01,Oran,1.06,2.0
2019-02-01,TzM,0.54,2.0
2019-02-11,Oran,1.0,2.0
2019-02-11,TzM,0.6,4.0
2019-02-21,Oran,1.22,1.0
2019-02-21,TzM,0.8200000000000001,
2019-03-01,Oran,1.1500000000000001,1.0
2019-03-01,TzM,0.8200000000000001,1.0
2019-03-11,Oran,1.41,2.0
2019-03-11,TzM,1.24,2.0
2019-03-21,Oran,1.69,
2019-03-21,TzM,1.6500000000000001,
2019-04-01,Oran,1.44,
2019-04-01,TzM,1.62,
2019-04-11,Oran,1.75,
2019-04-11,TzM,2.0300000000000002,
2019-04-21,Oran,1.93,
2019-04-21,TzM,2.33,
2019-05-01,Oran,2.6,
2019-05-01,TzM,3.08,
2019-05-11,Oran,2.84,
2019-05-11,TzM,3.02,
2019-05-21,Oran,1.84,
2019-05-21,TzM,2.12,
2019-06-11,Oran,0.78,
2019-06-11,TzM,1.23,
2019-06-21,Oran,0.76,
2019-06-21,TzM,1.01,
2019-07-01,Oran,0.9400000000000001,
2019-07-01,TzM,1.3,
2019-07-11,Oran,1.12,
2019-07-11,TzM,1.58,
2019-07-21,Oran,1.44,
2019-07-21,TzM,1.57,
2019-08-01,Oran,1.6500000000000001,
2019-08-01,TzM,1.73,
2019-08-11,Oran,1.56,
2019-08-11,TzM,1.54,
2019-08-21,Oran,1.51,
2019-08-21,TzM,1.49,
2019-09-01,Oran,1.5,
2019-09-01,TzM,1.47,
2019-09-11,Oran,1.06,
2019-09-11,TzM,0.98,
2019-09-21,Oran,1.8,
2019-09-21,TzM,1.48,
2019-10-01,Oran,1.71,
2019-10-01,TzM,1.31,
2019-10-11,Oran,1.26,
2019-10-11,TzM,0.97,
2019-10-21,Oran,1.09,
2019-10-21,TzM,0.77,
2019-11-01,Oran,1.1,
2019-11-01,TzM,0.65,
2019-11-11,Oran,1.08,
2019-11-11,TzM,0.68,
2019-11-21,Oran,0.81,
2019-11-21,TzM,0.39,
2019-12-01,Oran,0.67,
2019-12-01,TzM,0.34,2.0
2019-12-11,Oran,0.59,
2019-12-11,TzM,0.33,2.0
2019-12-21,Oran,1.01,
2019-12-21,TzM,0.59,2.0
