date,site,GPP_mgpp,qflag
2018-01-01,Oran,0.9500000000000001,2.0
2018-01-01,TzM,0.55,4.0
2018-03-21,Oran,1.41,1.0
2018-03-21,TzM,1.82,2.0
2018-04-01,Oran,1.44,1.0
2018-04-01,TzM,1.76,4.0
2018-04-11,Oran,1.79,2.0
2018-04-11,TzM,2.59,3.0
2018-04-21,Oran,2.05,2.0
2018-04-21,TzM,2.05,1.0
2018-05-01,Oran,2.62,
2018-05-01,TzM,2.34,3.0
2018-05-11,Oran,2.74,3.0
2018-05-11,TzM,2.16,3.0
2018-05-21,Oran,1.56,
2018-05-21,TzM,1.4000000000000001,1.0
2018-06-01,Oran,1.59,3.0
2018-06-01,TzM,1.28,4.0
2018-06-11,Oran,1.56,2.0
2018-06-11,TzM,1.86,1.0
2018-06-21,Oran,0.51,4.0
2018-06-21,TzM,0.97,3.0
2018-07-01,Oran,0.6900000000000001,2.0
2018-07-01,TzM,1.45,3.0
2018-07-11,Oran,0.73,1.0
2018-07-11,TzM,1.41,3.0
2018-07-21,Oran,1.1300000000000001,2.0
2018-07-21,TzM,1.48,1.0
2018-08-01,Oran,1.17,2.0
2018-08-01,TzM,1.34,
2018-08-11,Oran,1.3,
2018-08-11,TzM,1.1400000000000001,1.0
2018-08-21,Oran,1.31,1.0
2018-08-21,TzM,1.25,2.0
2018-09-01,Oran,1.03,1.0
2018-09-01,TzM,0.98,1.0
2018-09-11,Oran,1.41,1.0
2018-09-11,TzM,1.33,1.0
2018-09-21,Oran,1.51,1.0
2018-09-21,TzM,1.25,
2018-10-01,Oran,1.28,1.0
2018-10-01,TzM,1.21,3.0
2018-10-11,Oran,0.92,1.0
2018-10-11,TzM,0.87,
2018-10-21,Oran,1.03,
2018-10-21,TzM,0.77,1.0
2018-11-01,Oran,0.85,1.0
2018-11-01,TzM,0.74,
2018-11-11,Oran,0.68,5.0
2018-11-11,TzM,0.52,4.0
2018-11-21,Oran,0.92,7.0
2018-11-21,TzM,0.8200000000000001,6.0
2018-12-01,Oran,0.85,1.0
2018-12-01,TzM,0.6,2.0
2018-12-11,Oran,0.6900000000000001,1.0
2018-12-11,TzM,0.41000000000000003,2.0
2018-12-21,Oran,0.76,
2018-12-21,TzM,0.49,2.0
