date,site,GPP_mgpp,qflag
2024-01-01,Oran,0.64,
2024-01-01,TzM,0.41000000000000003,
2024-01-11,Oran,0.55,1.0
2024-01-11,TzM,0.37,3.0
2024-01-21,Oran,0.99,1.0
2024-01-21,TzM,0.75,2.0
2024-02-01,Oran,0.9400000000000001,
2024-02-01,TzM,0.72,
2024-02-11,Oran,1.17,
2024-02-11,TzM,0.9500000000000001,
2024-02-21,Oran,1.29,
2024-02-21,TzM,1.22,
2024-03-01,Oran,1.47,
2024-03-01,TzM,1.44,
2024-03-11,Oran,2.0300000000000002,
2024-03-11,TzM,2.15,
2024-03-21,Oran,1.48,2.0
2024-03-21,TzM,1.73,1.0
2024-04-01,Oran,3.2,3.0
2024-04-01,TzM,3.8000000000000003,3.0
2024-04-11,Oran,3.42,
2024-04-11,TzM,4.7,
2024-04-21,Oran,2.82,
2024-04-21,TzM,3.58,
2024-05-01,Oran,3.89,
2024-05-01,TzM,4.62,
2024-05-11,Oran,3.12,
2024-05-11,TzM,3.98,
2024-05-21,Oran,2.59,
2024-05-21,TzM,3.35,
2024-06-01,Oran,2.07,
2024-06-01,TzM,2.38,
2024-06-11,Oran,3.1,
2024-06-11,TzM,3.0300000000000002,
2024-06-21,Oran,3.63,
2024-06-21,TzM,3.23,
2024-07-01,Oran,3.72,
2024-07-01,TzM,3.3200000000000003,
2024-07-11,Oran,3.68,
2024-07-11,TzM,3.0500000000000003,
2024-07-21,Oran,3.04,
2024-07-21,TzM,2.5500000000000003,
2024-08-01,Oran,2.5500000000000003,
2024-08-01,TzM,2.15,
2024-08-11,Oran,2.56,
2024-08-11,TzM,2.14,
2024-08-21,Oran,1.8900000000000001,
2024-08-21,TzM,1.62,
2024-09-01,Oran,2.18,
2024-09-01,TzM,1.83,
2024-09-11,Oran,1.69,
2024-09-11,TzM,1.41,
2024-09-21,Oran,1.71,
2024-09-21,TzM,1.31,
2024-10-01,Oran,1.3800000000000001,
2024-10-01,TzM,1.03,
2024-10-11,Oran,1.24,
2024-10-11,TzM,0.78,
2024-10-21,Oran,0.99,
2024-10-21,TzM,0.73,
2024-11-01,Oran,1.04,
2024-11-01,TzM,0.65,
2024-11-11,Oran,0.9500000000000001,
2024-11-11,TzM,0.52,
2024-11-21,Oran,1.1300000000000001,
2024-11-21,TzM,0.5,
2024-12-01,Oran,1.11,
2024-12-01,TzM,0.53,
2024-12-11,Oran,1.01,
2024-12-11,TzM,0.5,
2024-12-21,Oran,0.97,
2024-12-21,TzM,0.5,
