date,SWC,NDWI_s2,NDWI_anom,VPD,LE,EF,ET,GWS_cm,group_le,group
2018-01-05,14.23207,-0.3244178003228037,-0.16278368394915577,4.180042,6.509318,,0.0094648483551103,-0.2626519096400486,deep_access,wet_shallow
2018-01-26,13.08158,-0.0893831305077633,0.07225098586588465,3.2896183,23.27997,,0.0337071981016349,0.03631593257626031,deep_access,wet_deep
2018-05-19,14.03998,-0.046634004717837,-0.011411513259681351,10.770143,5.890856,,0.0085875874669569,1.6450476549783035,deep_access,wet_shallow
2018-06-16,13.85487,0.04049988821418605,0.14436490659039714,16.157393,25.43521,,0.0373137986890603,2.043671444600049,deep_access,wet_deep
2018-06-17,13.17099,0.04049988821418605,0.14436490659039714,18.357729,29.98345,,0.0439739970227837,2.0037344280628817,deep_access,wet_deep
2018-06-18,12.4235,0.0204811106072305,0.12434612898344159,17.158648,25.86604,,0.0379681275290272,1.9637974115257142,deep_access,wet_deep
2018-06-19,11.73182,0.0088599334557423,0.1127249518319534,15.339611,13.80744,,0.0202495297820967,1.9238603949885469,deep_access,wet_deep
2018-06-20,11.20614,0.0011416231192385036,0.1050066414954496,17.041431,15.19088,,0.0222579804629199,1.8839233784513796,deep_access,wet_deep
2018-06-21,10.57022,-0.021595958292939695,0.0822690600832714,18.893587,10.37146,,0.015201413582936,1.8439863619142123,deep_access,wet_deep
2018-06-22,9.882588,-0.021595958292939695,0.0822690600832714,21.655329,18.25769,,0.0268013498602594,1.8040493453770448,deep_access,deep_access
2018-06-23,9.196717,-0.044797556268348346,0.05906746210786275,21.953455,17.44097,,0.0256020188848425,1.7641123288398775,deep_access,deep_access
2018-06-24,8.678734,-0.05866305227554665,0.045201966100664445,20.288553,12.64288,,0.018565290032893,1.7241753123027102,deep_access,deep_access
2018-06-25,8.194376,-0.0668701582234618,0.03699486015274929,19.191736,12.37656,,0.0181943202490939,1.6842382957655428,deep_access,deep_access
2018-06-26,7.821902,-0.1036149380287824,0.00025008034742869667,19.106104,9.962101,,0.0146464689630668,1.6443012792283753,deep_access,deep_access
2018-06-27,7.499458,-0.1036149380287824,0.00025008034742869667,19.740545,11.31786,,0.0166237364701581,1.604364262691208,deep_access,deep_access
