date,site,SWC,LE,H,G,Rn,EF,VPD_ec,ET,VPD,NDWI_s2,NDWI_anom,GWS_cm,group_le,group
2020-06-18,Tarazona,10.45698924731183,177.0648379310345,49.50357236551724,34.5384903209876,306.7962621483376,0.6503573313724125,1858.293266758621,0.2741339996428571,16.558481,0.08759126574741996,-0.0571973756392444,-2.4620259121497208,surface_dependent,compound_dry
2020-06-19,Tarazona,9.896874999999989,184.8817817241379,34.57329896551724,48.23721966790129,305.8360858541317,0.7177119389589166,2031.456286206896,0.2670783288888889,16.989874,0.0770366724095495,-0.06775196897711486,-2.525338587378033,surface_dependent,compound_dry
2020-06-20,Tarazona,9.7875,250.9446705263158,13.43192478947369,38.27815100000026,342.1300749956733,0.8258781686368041,2769.873540350877,0.3866488241818182,23.834852,0.08182209623857281,-0.06296654514809155,-2.5886512626063456,deep_access,true_drought
2020-06-21,Tarazona,10.359375,298.6804803448276,-19.10780274137931,38.58841492222224,337.0867025121893,1.0006103644892959,3180.474293103448,0.4502424321428571,27.836456,0.08182209623857281,-0.06296654514809155,-2.6519639378346582,deep_access,true_drought
2020-06-22,Tarazona,9.60833333333333,235.2402033898305,0.5716387118644067,39.72039406222204,327.5409003238731,0.8173156473290997,2622.91279661017,0.3484625389830509,22.70358,0.0866075200675961,-0.05818112131906826,-2.715276613062971,deep_access,true_drought
2020-06-23,Tarazona,8.915625,247.9965210526316,26.54074914736842,44.76264387654336,340.0460786236692,0.8398592398690102,2570.404070175438,0.3671561561403509,22.52742,0.09895217903365874,-0.04583646235300562,-2.7785892882912835,deep_access,true_drought
2020-06-24,Tarazona,8.34062499999999,172.408025862069,-22.84344556896552,11.4073439755555,187.1602480251471,0.9809682906486781,2099.427965517241,0.2546743034482759,18.984776,0.09895217903365874,-0.04583646235300562,-2.8419019635195957,surface_dependent,true_drought
2020-06-25,Tarazona,7.98645833333333,224.7515588421053,29.44314290561404,44.77005872839513,335.2287306501548,0.7737815412949565,2769.739228070176,0.3330918240350877,22.728676,0.09895217903365874,-0.04583646235300562,-2.9052146387479083,deep_access,true_drought
2020-06-26,Tarazona,8.26770833333333,216.7288830357143,-4.013480248214286,42.01832040740739,286.7534622827392,0.8855650290962958,2479.886321428572,0.3208764053571428,23.132118,0.09895217903365874,-0.04583646235300562,-2.968527313976221,deep_access,true_drought
2020-06-27,Tarazona,9.80104166666667,273.7148117543859,-3.496767543859649,33.35517559259279,325.4896077598087,0.9369481362529469,2738.165596491228,0.4052120964912281,24.8611,0.1112968379997214,-0.033491803386942964,-3.031839989204533,deep_access,true_drought
2020-06-28,Tarazona,11.40625,251.9005882758621,0.5986273637931034,48.51334966666668,338.1207307900672,0.869800304462987,2813.356120689655,0.3811705521052632,25.86648,0.0960356430718794,-0.04875299831478497,-3.095152664432846,deep_access,true_drought
2020-06-29,Tarazona,10.55416666666667,267.9029846034483,-22.47236965517241,41.2261860246912,328.0834378252051,0.9339243924352773,2961.293448275862,0.3978543740689655,29.048716,0.0807744481440374,-0.06401419324262696,-3.1584653396611584,deep_access,true_drought
2020-06-30,Tarazona,9.779166666666669,254.7991607142857,-19.5803375,41.16024864197536,328.0704899133567,0.8880796990208427,2824.152703571428,0.3750063945454545,26.707832,0.084965200595216,-0.05982344079144836,-3.221778014889471,deep_access,true_drought
2020-07-01,Tarazona,9.13437499999999,319.1915717241379,-32.0181425862069,47.60808346913576,334.5742528378668,1.1122968690919084,3327.721453448276,0.4740551370689655,28.298515,0.084965200595216,-0.02819964723605589,-3.2850906901177837,deep_access,true_drought
2020-07-02,Tarazona,8.53854166666667,292.8741030357143,-4.260001803571429,42.85267680246913,329.8606101634057,1.0204390506077077,3311.479732142857,0.4345921366071429,29.034042,0.0891559530463946,-0.02400889478487729,-3.348403365346096,deep_access,true_drought
2020-07-03,Tarazona,8.04583333333334,219.6013841071428,46.54674628070175,43.96126381481495,326.137785698261,0.7782411613885081,2677.845878947368,0.3444337649056604,24.0857,0.0892837184355764,-0.02388112939569549,-3.411716040574409,deep_access,true_drought
2020-07-04,Tarazona,7.676041666666671,203.0882254385965,43.94076561403509,40.63742577777793,324.6531032248139,0.7150599124108878,2943.917719298246,0.3015727550877193,21.188229,0.0894114838247582,-0.02375336400651369,-3.475028715802721,deep_access,true_drought
2020-07-05,Tarazona,7.360416666666671,199.2039514285714,39.99676029824561,42.36274676543216,331.4268746097982,0.6891341132989843,2964.770810526316,0.3379780603773585,23.64344,0.0882531956160828,-0.024911652215189095,-3.5383413910310337,deep_access,true_drought
2020-07-06,Tarazona,7.103125,239.0842548214286,16.68273839285714,47.20895748148142,316.4066697113628,0.8881362803605948,3608.29475,0.3556894857142857,28.583107,0.0882531956160828,-0.024911652215189095,-3.6016540662593464,deep_access,true_drought
2020-07-07,Tarazona,6.816666666666659,247.8085840350877,17.60315028070175,42.9879716296294,330.3716261882328,0.8622918530829471,3802.08598245614,0.3688948512280702,32.190662,0.0870949074074074,-0.0260699404238645,-3.6649667414876586,deep_access,true_drought
2020-07-08,Tarazona,6.503125,142.2384946296296,5.763172909090909,7.466660012345777,162.9703577573322,0.9146952560760921,1574.887222222222,0.2101731222222222,19.51563,0.0870949074074074,-0.0260699404238645,-3.728279416715971,surface_dependent,true_drought
2020-07-09,Tarazona,7.1927083333333295,170.2574390566038,0.9880092452830188,30.45518768055541,217.9724679962223,0.907955996215347,1645.280566037736,0.2518248018867925,17.15748,0.0870949074074074,-0.0260699404238645,-3.791592091944284,surface_dependent,compound_dry
2020-07-10,Tarazona,7.26770833333333,209.412541754386,32.02229607017544,38.99605791358031,331.9597646481934,0.7148071141251857,2098.519074545455,0.3097860680357143,20.227821,0.0870949074074074,-0.0260699404238645,-3.8549047671725964,deep_access,true_drought
2020-07-11,Tarazona,7.05729166666666,210.1922929824561,47.96876894736842,40.60598146913579,340.5103337627958,0.7008644301921975,1775.81705,0.3110664805263158,18.85572,0.0870949074074074,-0.0260699404238645,-3.918217442400909,deep_access,true_drought
2020-07-12,Tarazona,6.753125,128.1354205660377,14.8805266,9.114006296296257,171.7687832929219,0.7877753296400015,758.6149090909091,0.2363600676,14.115094,0.05198851834248695,-0.061176329488784945,-3.9815301176292213,surface_dependent,compound_dry
2020-07-13,Tarazona,6.78854166666666,193.6132335087719,32.63075438596491,39.09548538271608,310.6572023216609,0.7129621792467232,1972.181544,0.2864208736842105,18.42935,0.0168821292775665,-0.0962827185537054,-4.0448427928575335,deep_access,true_drought
2020-07-14,Tarazona,8.971875,144.7966493877551,26.02385096153846,8.450897076543047,188.4045809139709,0.8046328716369374,1143.617839787234,0.2298403065217391,10.709977,0.0168821292775665,-0.0962827185537054,-4.1081554680858465,surface_dependent,compound_dry
2020-07-15,Tarazona,9.32916666666666,163.6209633333333,72.10623512280702,53.68512034567915,328.5123706196438,0.5953593145156671,1652.533884615385,0.2547129335849057,14.094433,0.0168821292775665,-0.0962827185537054,-4.171468143314159,surface_dependent,compound_dry
