site,event_start,pulse_mm,month,le0,tau,r2,amplitude,n_obs
Oran,2018-01-02,3.98,1,30.637839107107574,13.511446279952876,0.021801600076721273,13.605848916667572,11.0
Oran,2018-02-06,34.0,2,42.65321688264563,0.6917791207131224,0.9131786094087854,25.621226692205628,7.0
Oran,2018-03-09,3.8,3,36.10948830547665,0.5000000000000001,0.7825194888744781,19.07749811503665,4.0
Oran,2018-04-02,7.36,4,35.57369675862526,10.3267090778756,0.05778162037605339,18.54170656818526,11.0
Oran,2018-05-03,3.8,5,43.81735751794178,4.737762314384711,0.21323832470997106,26.785367327501778,8.0
Oran,2018-06-06,3.8,6,44.88385858487057,0.5000000000000001,0.5449568336026147,27.85186839443057,7.0
Oran,2018-07-04,12.6,7,35.45406736203077,5.975178788819533,0.08115810527030043,18.422077171590768,9.0
Oran,2018-08-03,4.2,8,42.40737086986568,4.740325267551872,0.23007996668441277,25.375380679425678,8.0
Oran,2018-10-09,34.6,10,36.86685522994449,0.6835519721170255,0.9663493427082045,19.83486503950449,4.0
Oran,2018-11-03,3.4,11,47.41623177159722,5.198811356787181,0.27553932379231627,30.384241581157216,10.0
Oran,2018-12-02,11.34,12,38.54450288654828,8.433090468024801,0.08751263515182339,21.512512696108278,11.0
Oran,2019-01-04,8.45,1,30.823346698178383,6.364152167036906,0.08953724738748048,13.791356507738382,5.0
Oran,2019-02-04,4.12,2,47.38382460141358,3.5509510053500004,0.3121636144911165,30.351834410973577,5.0
Oran,2019-08-04,6.39,8,45.56819892970177,3.558625114602631,0.2774130463483173,28.53620873926177,5.0
Oran,2019-10-04,3.09,10,46.61787411928138,3.8907989732160293,0.22691636515122804,29.58588392884138,5.0
Tarazona,2020-06-20,13.65,6,236.42616519200936,8.240581483062412,0.37467358347366253,122.16276463035321,6.0
Tarazona,2020-06-28,10.92,6,248.17702816267806,14.892467402581593,0.28881139959552493,133.91362760102191,9.0
Tarazona,2020-07-07,2.60052,7,166.60031977461875,59.99999999997553,-0.0034827460600883597,52.3369192129626,12.0
Tarazona,2020-07-25,20.28,7,204.7677781683466,24.709889711093766,0.10704299360982894,90.50437760669045,5.0
Tarazona,2020-08-08,12.35052,8,283.8175689176197,3.040195774505785,0.6109012086239204,169.55416835596355,10.0
Tarazona,2020-08-26,6.36948,8,208.61981438692177,1.1492464411089238,0.36895583632491036,94.35641382526562,10.0
Tarazona,2020-09-05,12.74052,9,,,,,
Tarazona,2020-09-16,7.14948,9,115.26340056215373,0.5000000000291525,-1.8769443022648242,1.0000000004975789,7.0
Tarazona,2020-09-29,9.48948,9,,,,,
Tarazona,2021-05-16,4.94052,5,115.26340056165617,0.5000000000000001,-0.005343944769594877,1.0000000000000142,6.0
Tarazona,2021-05-22,1.95,5,142.72222565306566,27.27788752702251,0.001232786952511833,28.45882509140951,7.0
Tarazona,2021-05-29,12.48,5,164.99490311854524,59.999999999743096,-0.017359270934556692,50.73150255688908,15.0
Tarazona,2021-06-26,7.02,6,197.73606704262505,6.58950165933743,0.5148881018959388,83.4726664809689,5.0
Tarazona,2021-07-10,21.18948,7,245.74843956250126,10.293148153891229,0.16078978564939972,131.48503900084512,5.0
Tarazona,2021-07-24,11.18052,7,291.9758724751237,2.1699715457274587,0.903707949440254,177.71247191346754,6.0
Tarazona,2021-08-21,11.04948,8,170.51982405382446,2.826033544278697,0.3679596284740244,56.25642349216831,5.0
Tarazona,2021-08-26,11.31,8,167.4404241129303,7.5884968343149986,0.18414777408961425,53.17702355127413,15.0
Tarazona,2021-09-18,10.92,9,115.26340056170567,0.5000000000000001,-1.564622963744584,1.0000000000495106,15.0
Tarazona,2021-10-09,2.85948,10,,,,,
Tarazona,2021-10-16,10.79052,10,,,,,
Tarazona,2022-06-04,21.71052,6,181.23643011082405,11.33685847149981,0.13959093827895075,66.97302954916789,11.0
Tarazona,2022-06-18,13.26,6,250.17765733391963,2.8855827609637488,0.773396140612949,135.91425677226346,7.0
Tarazona,2022-06-25,10.53,6,206.15567918667685,3.8371643330554277,0.7417307590264381,91.8922786250207,6.0
Tarazona,2022-07-07,11.82948,7,191.36224619088898,11.904150049136126,0.2863440679797239,77.09884562923283,5.0
Tarazona,2022-07-19,10.65948,7,215.67475793442642,2.983749355831894,0.45560225775634344,101.41135737277027,5.0
Tarazona,2022-07-30,13.26,7,186.3987561779106,2.5245086238490426,0.3409634952330568,72.13535561625444,6.0
Tarazona,2022-08-08,1.17,8,250.25653579038715,0.8177286160906683,0.9617431685811462,135.99313522873098,5.0
Tarazona,2022-08-13,19.11,8,202.38722044819568,3.9906874715964546,0.7999919872949286,88.12381988653952,7.0
Tarazona,2022-08-20,16.77,8,190.8922763572002,2.48648010830473,0.4423932622450011,76.62887579554403,15.0
Tarazona,2022-09-06,11.82948,9,115.26340056165617,0.5000000000000004,-0.4128477704019,1.0000000000000142,4.0
Tarazona,2022-09-13,11.04948,9,115.26340736693352,1.5105234019540497,-0.10149181684482467,1.0000068052773656,15.0
Tarazona,2022-10-01,9.87948,10,116.91735719425148,4.064684407967591,-0.03459902716907215,2.6539566325953245,14.0
Tarazona,2022-10-15,15.08052,10,126.00381726764397,0.5000000000000001,0.010812827388632984,11.740416705987812,8.0
Tarazona,2022-10-29,9.36,10,115.26340056165617,0.5000000000000001,-0.0010656383038429862,1.0000000000000142,15.0
Tarazona,2023-06-17,10.01052,6,246.74771397235023,59.99999999999999,-0.024897687372193555,132.48431341069409,7.0
Tarazona,2023-06-24,12.35052,6,270.9819874108727,17.39220434934939,0.1969722517620378,156.71858684921654,7.0
Tarazona,2023-08-19,13.65,8,407.15668370538907,11.923437924854662,0.16942292138140602,292.8932831437329,5.0
Tarazona,2023-08-30,11.7,8,347.2520224510896,3.7624123796571585,0.48571194865928236,232.98862188943343,10.0
Tarazona,2023-09-10,18.84948,9,138.47732905724982,0.5000000000000001,0.0003081208372252009,24.213928495593663,9.0
Tarazona,2024-05-04,13.0,5,130.00091047980766,59.99999999999999,-0.05288546539762229,15.737509918151503,6.0
Tarazona,2024-05-11,12.6,5,172.56093890593866,5.038734841206752,0.5901177420547912,58.2975383442825,11.0
Tarazona,2024-06-01,15.08052,6,184.59817250472898,59.9999999999903,-0.11290391072378991,70.33477194307282,5.0
Tarazona,2024-06-06,10.65948,6,228.59575019374518,11.05889865729273,0.13533396958819022,114.33234963208902,9.0
Tarazona,2024-06-23,10.65948,6,206.7886946564288,59.99999999999999,-0.01999541261515514,92.52529409477263,13.0
Tarazona,2024-07-17,11.57052,7,236.49319355935344,30.19197412599817,0.0418851621252353,122.22979299769729,7.0
Tarazona,2024-08-04,10.01052,8,250.43090510306033,8.53571569418624,0.6545328590877616,136.16750454140418,5.0
Tarazona,2024-08-09,11.04948,8,262.432054504684,59.999999999999794,-0.21433350976046794,148.16865394302783,5.0
Tarazona,2024-08-18,10.65948,8,292.14463128720456,3.9367597300026875,0.7786850583598847,177.8812307255484,13.0
Tarazona,2024-08-31,18.72,8,115.28594830403097,1.026121952757929,-0.30826984680271585,1.0225477423748117,6.0
Tarazona,2024-09-08,7.14948,9,145.06882247042319,0.9094068769315188,-0.19115895596469779,30.80542190876703,15.0
Tarazona,2024-09-28,16.89948,9,115.26340056165623,0.5000000000000001,-2.9694628685293423,1.000000000000071,14.0
Tarazona,2024-10-12,14.30052,10,,,,,
