season,n_events,n_data,tau,ci_lo,ci_hi,le_inf,le0,amplitude,r2,reason
winter (Nov-Feb),6,49,3.287951165685525,1.836422708013398,26.047875791863422,17.031990190440002,35.12827930993951,18.096289119499506,0.5923596038361332,
spring (Mar-May),3,23,59.99999999999921,0.5000000000000001,59.99999999999999,19.519694649439998,33.5245027194826,14.0048080700426,-0.005609523517756898,
summer (Jun-Aug),4,29,4.106340941516244,0.5000000000002494,59.99999999999865,15.89288552168,39.613943092961875,23.721057571281875,0.7484727653942549,
autumn (Sep-Oct),2,9,,,,21.08431000728,,,,fit failed
