group,n_events,n_data,tau,ci_lo,ci_hi,le_inf,le0,amplitude,r2
"Oran spring (Mar-May, active cereal)",3,23,59.99999999999921,0.5000000000000001,59.99999999999999,19.519694649439998,33.5245027194826,14.0048080700426,-0.005609523517756898
"Tarazona summer (Jun-Sep, active almond)",41,343,3.334933555009164,2.3993226396591996,4.803737352337147,114.5366152018577,209.0698208294987,94.533205627641,0.8483560528666105
