comparison,tau1,tau2,se1,se2,obs_diff,mde,NS
Oran winter ↔ Oran summer,3.287951165685525,3.7897732277888054,4.456252379181757,5.064114211507559,0.5018220621032805,13.221422293958442,True
Oran winter ↔ Tarazona active,3.287951165685525,3.3562168373679078,4.456252379181757,0.6329844819063328,0.06826567168238284,8.821928128996275,True
Oran summer ↔ Tarazona active,3.7897732277888054,3.3562168373679078,5.064114211507559,0.6329844819063328,0.43355639042089766,10.002900296675277,True
Oran active ↔ Tarazona active,2.8208494464090035,3.3562168373679078,2.786338677193026,0.6329844819063328,0.5353673909589043,5.600372921959076,True
