n_events,n_data,le_inf,tau,le0,amplitude,r2,valid,reason,ci_lo,ci_hi,tau_se,n_boot_valid,label,site
10,79,17.031990190440002,2.8208494464090035,37.976937915490566,20.944947725050564,0.7274811936230972,True,OK,1.8220248879677132,5.339079711090162,0.9037174664814231,1359,"Oran active (Nov-Jun, cereal)",Oran
41,343,114.26340056165616,3.3562168373679078,209.04747207182342,94.78407151016727,0.8503770932207958,True,OK,2.457084056982947,4.89808225838819,0.619742964278026,1999,"Tarazona active (Jun-Sep, almond)",Tarazona
