strat1,strat2,tau1,tau2,obs_diff,se1,se2,mde_alpha05,obs_exceeds_mde,n1,n2
Oran winter (Nov-Feb),Oran summer (Jun-Aug),3.287951165685525,3.7897732277888054,0.5018220621032805,0.945067643032866,1.4002986459891742,3.3111757293211035,False,6,4
Oran winter (Nov-Feb),Tarazona summer (Jun-Sep),3.287951165685525,3.3562168373679078,0.06826567168238284,0.945067643032866,0.619742964278026,2.2150898109912296,False,6,41
Oran summer (Jun-Aug),Tarazona summer (Jun-Sep),3.7897732277888054,3.3562168373679078,0.43355639042089766,1.4002986459891742,0.619742964278026,3.0013722869366752,False,4,41
