n_events,n_data,le_inf,tau,le0,amplitude,r2,valid,reason,ci_lo,ci_hi,tau_se,n_boot_valid,label,site,success
6,49,17.031990190440002,3.287951165685525,35.12827930993951,18.096289119499506,0.5923596038361332,True,OK,1.5805184997984834,5.412203726780462,0.945067643032866,978,Oran winter (Nov-Feb),Oran,
3,23,17.031990190440002,59.99999999999984,33.58615138040486,16.554161189964855,-0.007261613956892399,False,τ=60.0 pegged at ceiling (60.0),,,,0,Oran spring (Mar-May),Oran,
4,29,17.031990190440002,3.7897732277888054,39.638964851536386,22.606974661096384,0.7416585470962082,True,OK,1.0785065036834154,6.382979073205499,1.4002986459891742,1225,Oran summer (Jun-Aug),Oran,
2,0,17.031990190440002,,,,,False,n_events=2 < 3,,,,0,Oran autumn (Sep-Oct),Oran,False
41,343,114.26340056165616,3.3562168373679078,209.04747207182342,94.78407151016727,0.8503770932207958,True,OK,2.457084056982947,4.89808225838819,0.619742964278026,1999,Tarazona summer (Jun-Sep),Tarazona,
