product,model,n_obs,a_med,a_lo,a_hi,tau_med,tau_lo,tau_hi,c_med,c_lo,c_hi
MOD16,full,400,-2.3130575240421054,-2.7966989833215163,-1.8841796418137866,4.022961635091881,2.756369118131986,5.859157633362203,-2.2862277424804214,-2.6559113518056328,-1.8508126384219732
MOD16,transient,400,-4.357455398850718,-4.568988133667551,-4.148688150725943,16.018633838576935,12.170504247800924,21.69449347696471,,,
PML,full,325,-2.808376594335508,-3.4282294909619564,-2.2212526374898234,4.274256757689759,2.882234539550591,7.016736776193127,-0.5649638150042715,-1.0327793074097094,0.03616907357604222
PML,transient,325,-3.30835554774408,-3.576610416593997,-3.020572335007444,6.090597776583957,4.654272688881717,8.395588256342025,,,
