date,LE_Wm2,H_Wm2,G_Wm2,Rn_Wm2,Ta_30min_mean,VPD_30min_mean_kPa,SWC_30min_mean,n_LE_ok,n_H_ok,n_total,EBR,qc_frac
2018-01-01,,,,4.187606145833335,6.57294969375,0.5124524729166666,14.905544999999998,17,18,48,,0.3541666666666667
2018-01-02,,,,2.6232904166666664,7.835366625,0.4393803,14.500921875000001,8,9,48,,0.16666666666666666
2018-01-03,,,,11.668451770833334,8.736805208333333,0.34122809374999996,14.572797083333334,17,19,48,,0.3541666666666667
2018-01-04,,,,42.55300341666666,10.048655916666666,0.37534866250000004,14.709615625,8,7,48,,0.16666666666666666
2018-01-05,,,,15.633855583333334,8.525510520833334,0.47495951666666664,14.18256625,5,6,48,,0.10416666666666667
2018-01-06,,,,-0.4551537187500004,4.9852023333333335,0.29885928125,14.207360208333334,17,19,48,,0.3541666666666667
2018-01-07,,,,28.094102708333335,3.0215943939583334,0.3282149125,15.359618333333332,22,22,48,,0.4583333333333333
2018-01-08,,,,26.863009479166667,1.8603376181249998,0.26835154375000003,14.601343125,10,11,48,,0.20833333333333334
2018-01-09,,,,6.949224770833332,1.79163758125,0.28025808333333335,13.940622500000002,13,15,48,,0.2708333333333333
2018-01-10,,,,25.18478142875,6.315222895833333,0.33040342826086955,15.600166041666666,11,13,48,,0.22916666666666666
2018-01-11,,,,14.20997319375,4.9346530625,0.35392885416666664,18.159041041666665,8,9,48,,0.16666666666666666
2018-01-12,,,,17.570455604166664,3.6987081920416665,0.35919097291666663,16.382618958333335,19,21,48,,0.3958333333333333
2018-01-13,,,,5.8454889375,3.914365016666667,0.39919848333333335,15.658551875,9,12,48,,0.1875
2018-01-14,,,,15.750579979166668,4.524049041666667,0.28582849791666665,15.896470833333334,20,23,48,,0.4166666666666667
2018-01-15,,,,28.581695333333332,3.5401175937500002,0.2979996020833333,15.716131666666667,22,27,48,,0.4583333333333333
2018-01-16,,,,25.99012689583333,5.53970456875,0.44095507708333337,15.251118750000002,18,21,48,,0.375
2018-01-17,,,,33.54625700208334,7.286165854166666,0.4131837583333334,15.026845416666667,20,21,48,,0.4166666666666667
2018-01-18,,,,30.749713645833335,6.170767008333333,0.37556910416666667,14.708328125,17,19,48,,0.3541666666666667
2018-01-19,,,,11.843739229166667,6.556365245833334,0.4323402458333333,14.530355416666666,13,16,48,,0.2708333333333333
2018-01-20,,,,10.582062229166667,9.030260645833334,0.6694803916666667,14.326106875,17,23,48,,0.3541666666666667
2018-01-21,,,,26.0623848125,10.1192860625,0.595096275,14.246690000000001,22,24,48,,0.4583333333333333
2018-01-22,,,,20.0480475625,10.5155705,0.5924196645833334,14.059928124999999,20,25,48,,0.4166666666666667
2018-01-23,,,,30.045572916666668,6.311632402083333,0.4438338062500001,13.585630625,7,12,48,,0.14583333333333334
2018-01-24,,,,24.386339354166665,9.246763125,0.6480987270833334,13.486590208333332,20,21,48,,0.4166666666666667
2018-01-25,,,,32.53658472916667,7.28351640625,0.4767636666666667,13.263877916666667,12,15,48,,0.25
