stratum,n,SDS,SDS_lo,SDS_hi,bias_MOD16_mean,bias_MOD16_n,bias_MOD16_se,bias_PML_mean,bias_PML_n,bias_PML_se,site,bucket
Oran_spring,202,0.43313896931000967,0.35613772954507467,0.5057812817021576,-0.2665100043452064,203,0.034530012102995736,0.5551890609573069,203,0.04441554216046642,Oran,spring
Oran_summer,34,-0.023449004461004286,-0.3049997261947146,0.19537606618763148,-0.8837788628687784,34,0.09500168219844751,1.4137967781568628,34,0.09095583975004716,Oran,summer
TzM_spring,45,0.16196142433424188,-0.007351872309218295,0.31573952886274237,-2.341690281784855,45,0.1914824878574439,-0.520217241141026,30,0.22296992394981602,TzM,spring
TzM_summer,393,0.11168486574290931,0.05850189914814827,0.165402826591161,-3.6863496092701133,401,0.07826049289526188,-2.263537492318651,326,0.09327743577845353,TzM,summer
TzM_fall,62,0.28992669379111513,0.18239661145507322,0.38159211505221113,-1.5281874473831059,63,0.10767219173996057,-0.3477092434550132,52,0.13444601372725812,TzM,fall
TzM_summer_irrig_d0-3,277,0.12618554887074612,0.06694093371236352,0.1807192824107623,-4.11640775836028,281,0.08704760059768499,-2.781711565995033,222,0.10317335616291329,TzM,irrig_d0-3
TzM_summer_irrig_d4-7,72,0.014343885556716174,-0.1270731322165103,0.13851701940800615,-2.6796257191796182,75,0.16095278420851053,-1.2869265128646046,63,0.1802909333722424,TzM,irrig_d4-7
TzM_summer_irrig_d8plus,43,-0.0036318391260312666,-0.1433283825454159,0.1382521821753042,-2.67503415081326,44,0.19062009592526302,-0.929725485055128,40,0.22890358126746996,TzM,irrig_d8plus
