year,iii_mean,iii_median,iii_p25,iii_p75,n_events
2020,5.895,4.0,1.5,9.5,20
2021,4.472,2.0,1.0,5.0,37
2022,7.35,6.5,4.0,10.0,21
2023,4.643,3.0,2.0,4.0,29
2024,5.367,4.0,3.0,6.0,31
