model,tau,tau_pctile_lo,tau_pctile_hi,tau_bca_lo,tau_bca_hi,le0,le_inf,le_inf_lo,le_inf_hi,r2,aic,sse,n_boot_success
3-param,4.404861979667419,2.4778688203915076,11.504165712462656,1.9420196401385004,8.74902426598571,216.31847433132523,101.55147746651895,50.00000000000001,127.36517776737111,0.8647882066665485,77.77085795903609,2357.9483668139737,4683
2-param (LE_inf fixed),3.330214008382481,2.510764379500652,4.775874533585608,2.617290817525549,5.239697632153358,219.3557183726292,113.48610367680875,113.48610367680875,113.48610367680875,0.848881117141967,77.32800014909624,2635.3509131491915,5000
