date,site,ET_mm,n_obs,qflag_mean
2019-01-01,Oran,0.7165,48,1983.0
2019-01-01,TzM,0.55565,48,1983.0
2019-01-02,Oran,0.65595,48,1983.0
2019-01-02,TzM,0.5428000000000001,48,1983.0
2019-01-03,Oran,0.48865000000000003,48,1953.4166666666667
2019-01-03,TzM,0.45780000000000004,48,1968.2083333333333
2019-01-04,Oran,0.5155500000000001,48,1938.7083333333333
2019-01-04,TzM,0.3493,48,1879.75
2019-01-05,Oran,0.562,48,1983.0
2019-01-05,TzM,0.3857,48,1968.25
2019-01-06,Oran,0.69525,48,1983.0
2019-01-06,TzM,0.6085,48,1983.0
2019-01-07,Oran,0.62185,48,1983.0
2019-01-07,TzM,0.51495,48,1983.0
2019-01-08,Oran,0.5366500000000001,48,1983.0
2019-01-08,TzM,0.38255,48,1938.6666666666667
2019-01-09,Oran,0.55425,48,1938.625
2019-01-09,TzM,0.5748,48,1953.5
2019-01-10,Oran,0.4661,48,1938.7916666666667
2019-01-10,TzM,0.48145000000000004,48,1953.5625
2019-01-11,Oran,0.4475,48,1983.0
2019-01-11,TzM,0.35105000000000003,48,1983.0
2019-01-12,Oran,0.46435000000000004,48,1983.0
2019-01-12,TzM,0.29525,48,1968.25
2019-01-13,Oran,0.40215,48,1968.2916666666667
2019-01-13,TzM,0.31795,48,1968.2916666666667
2019-01-14,Oran,0.5253,48,1968.2083333333333
2019-01-14,TzM,0.48455000000000004,48,1983.0
2019-01-15,Oran,0.5563,48,1953.5416666666667
2019-01-15,TzM,0.44075000000000003,48,1968.25
2019-01-16,Oran,0.4459,47,1952.787234042553
2019-01-16,TzM,0.3115,47,1967.8936170212767
2019-01-17,Oran,0.2515,48,1525.3541666666667
2019-01-17,TzM,0.2659,48,1510.4583333333333
2019-01-18,Oran,0.37925000000000003,48,1731.8333333333333
2019-01-18,TzM,0.31395,48,1731.8958333333333
2019-01-19,Oran,0.35000000000000003,48,1761.7083333333333
2019-01-19,TzM,0.28200000000000003,48,1747.1041666666667
2019-01-20,Oran,0.15845,48,1687.9791666666667
2019-01-20,TzM,0.3254,48,1791.25
2019-01-21,Oran,0.4219,48,1938.625
2019-01-21,TzM,0.4573,48,1983.0
2019-01-22,Oran,0.25105,46,1644.0652173913043
2019-01-22,TzM,0.226,46,1597.9565217391305
2019-01-23,Oran,0.279,48,1761.25
2019-01-23,TzM,0.3057,48,1702.25
2019-01-24,Oran,0.2781,48,1805.9166666666667
2019-01-24,TzM,0.4489,48,1761.7083333333333
2019-01-25,Oran,0.48300000000000004,48,1938.625
2019-01-25,TzM,0.49095,48,1938.7083333333333
2019-01-26,Oran,0.6185,48,1983.0
2019-01-26,TzM,0.4459,48,1953.4583333333333
2019-01-27,Oran,0.34195000000000003,48,1805.75
2019-01-27,TzM,0.3541,48,1864.8541666666667
2019-01-28,Oran,0.3896,48,1923.9583333333333
2019-01-28,TzM,0.32620000000000005,48,1924.0
2019-01-29,Oran,0.2401,48,1658.3333333333333
2019-01-29,TzM,0.16855,48,1643.625
2019-01-30,Oran,0.27915,48,1436.9583333333333
2019-01-30,TzM,0.32130000000000003,48,1495.8541666666667
2019-01-31,Oran,0.2591,48,1599.5
2019-01-31,TzM,0.1998,48,1584.75
2019-02-01,Oran,0.33645,48,1687.8333333333333
2019-02-01,TzM,0.3452,48,1599.125
2019-02-02,Oran,0.52695,48,1747.0
2019-02-02,TzM,0.7090000000000001,48,1791.3125
2019-02-03,Oran,0.6042000000000001,48,1894.7708333333333
2019-02-03,TzM,0.7081000000000001,48,1938.875
2019-02-04,Oran,0.75005,48,1968.2083333333333
2019-02-04,TzM,0.6435000000000001,48,1894.4375
2019-02-05,Oran,0.8208500000000001,48,1953.4375
2019-02-05,TzM,0.6588,48,1968.2083333333333
2019-02-06,Oran,0.8677,48,1983.0
2019-02-06,TzM,0.6081500000000001,48,1968.2083333333333
2019-02-07,Oran,0.7774500000000001,48,1864.7916666666667
2019-02-07,TzM,0.52975,48,1879.4583333333333
2019-02-08,Oran,0.8232,48,1968.2083333333333
2019-02-08,TzM,0.53335,48,1953.4583333333333
2019-02-09,Oran,0.7626000000000001,48,1820.6875
2019-02-09,TzM,0.49470000000000003,48,1835.375
2019-02-10,Oran,0.3476,48,1790.8958333333333
2019-02-10,TzM,0.2827,48,1658.1458333333333
2019-02-11,Oran,0.48925,48,1776.375
2019-02-11,TzM,0.50865,48,1776.5
2019-02-12,Oran,0.5255,48,1731.8958333333333
2019-02-12,TzM,0.4153,48,1923.9375
2019-02-13,Oran,0.5702,48,1717.0208333333333
2019-02-13,TzM,0.44570000000000004,48,1879.5
2019-02-14,Oran,0.4339,48,1628.5625
2019-02-14,TzM,0.31170000000000003,48,1791.1666666666667
2019-02-15,Oran,0.43085,48,1613.8541666666667
2019-02-15,TzM,0.2891,48,1673.1041666666667
2019-02-16,Oran,0.49210000000000004,48,1717.1666666666667
2019-02-16,TzM,0.34450000000000003,48,1746.6041666666667
2019-02-17,Oran,0.50725,48,1909.0416666666667
2019-02-17,TzM,0.38430000000000003,48,1953.4375
2019-02-18,Oran,0.4262,48,1790.8333333333333
2019-02-18,TzM,0.3139,48,1687.6458333333333
2019-02-19,Oran,0.52685,48,1775.9791666666667
2019-02-19,TzM,0.35215,48,1968.2291666666667
2019-02-20,Oran,0.5437500000000001,48,1849.9583333333333
2019-02-20,TzM,0.3285,48,1687.6666666666667
2019-02-21,Oran,0.5479,48,1717.125
2019-02-21,TzM,0.37145,48,1879.7916666666667
2019-02-22,Oran,0.7054,48,1983.0
2019-02-22,TzM,0.43975000000000003,48,1983.0
2019-02-23,Oran,0.58985,48,1791.25
2019-02-23,TzM,0.47100000000000003,48,1806.0
2019-02-24,Oran,0.48090000000000005,48,1938.625
2019-02-24,TzM,0.34290000000000004,48,1953.5
2019-02-25,Oran,0.60575,48,1983.0
2019-02-25,TzM,0.442,48,1983.0
2019-02-26,Oran,0.5890500000000001,48,1983.0
2019-02-26,TzM,0.44615000000000005,48,1983.0
2019-02-27,Oran,0.6798000000000001,48,1968.25
2019-02-27,TzM,0.49885,48,1983.0
2019-02-28,Oran,0.59125,48,1776.4583333333333
2019-02-28,TzM,0.49155000000000004,48,1746.9791666666667
2019-03-01,Oran,0.6031500000000001,48,1628.875
2019-03-01,TzM,0.5522,48,1599.25
2019-03-02,Oran,0.53895,48,1835.5
2019-03-02,TzM,0.5508000000000001,48,1820.6666666666667
2019-03-03,Oran,0.64065,48,1924.0
2019-03-03,TzM,0.5889500000000001,48,1879.75
2019-03-04,Oran,0.29455000000000003,48,1717.5
2019-03-04,TzM,0.3532,48,1688.0
2019-03-05,Oran,0.1746,48,1570.0
2019-03-05,TzM,0.22855,48,1570.0
2019-03-06,Oran,0.24135,48,1643.7083333333333
2019-03-06,TzM,0.1861,48,1688.0
2019-03-07,Oran,0.4258,48,1702.3958333333333
2019-03-07,TzM,0.39185000000000003,48,1702.2291666666667
2019-03-08,Oran,0.38655,48,1894.5833333333333
2019-03-08,TzM,0.48140000000000005,48,1835.4583333333333
