year,vpd_mean,vpd_p90,total_irrig_mm,mean_irrig_event,n_irrig_events,total_rain_mm,n_compound_days,mean_le_normal,n_days_active
2020,1473.0911260774471,2317.1399,229.96895999999998,11.498448,20,51.815999999999995,7,101.3276831897069,91
2021,1086.6891036158358,1795.8340709803922,298.99272,8.066844324324325,37,132.59,45,98.26956481974464,119
2022,1458.7941240705943,2679.740402597403,255.18635999999998,12.120902857142859,21,58.42,74,,136
2023,1788.8984939485733,2703.6462857142856,346.58052,11.924209655172415,29,58.674,34,170.47001006391764,91
2024,1311.8026372000634,2285.626839077413,371.46896000000004,11.95770838709677,31,60.96,13,187.3438217978564,152
