label,tau,se,ci_lo,ci_hi,amplitude,n
EC (B-v3 pool),4.700774565623728,7.629339468549735,2.783529425412632,32.4702464583245,94.62432184168382,48
EC (v31 ref),3.36,0.62,2.44,4.9,94.8,41
METv3,0.5000000000000001,18.472633294368578,0.5860394593685269,58.5768851744669,1.0262018485475877e-10,48
Bias,4.567124067730713,2.413885419239556,3.0322337205701246,13.096101324934702,94.80292759070451,48
