i,sig_h,sig_le,delta_h,delta_le,p_h,p_le
507,0,0,-0.010638,0.005767,0.749625,0.866067
508,0,0,-0.022014,-0.002501,0.489255,0.936032
509,0,0,-0.058670,0.058596,0.082959,0.073463
510,0,0,-0.010142,-0.029907,0.770615,0.392304
511,0,0,-0.012685,0.031917,0.708646,0.330335
512,0,0,0.015457,-0.020872,0.635182,0.522739
513,0,0,-0.027142,-0.001075,0.396802,0.966517
514,0,0,0.004130,-0.014135,0.897051,0.663168
515,0,0,-0.046220,-0.021780,0.142929,0.502749
516,0,0,-0.018299,-0.012493,0.586207,0.711144
517,0,0,-0.013794,-0.011836,0.697651,0.730135
518,0,0,-0.001392,-0.006626,0.966017,0.856572
519,0,0,0.014618,-0.010941,0.664168,0.742129
520,0,0,0.029251,-0.020305,0.383308,0.536732
521,0,0,0.037245,-0.020030,0.290355,0.570215
522,0,0,0.008735,-0.001642,0.793603,0.954523
523,0,0,0.002279,-0.007091,0.951024,0.847576
524,0,0,-0.004996,-0.028657,0.881559,0.393303
525,0,0,0.037201,0.005541,0.245377,0.854073
526,0,0,0.018893,-0.002077,0.565717,0.947526
527,0,0,0.044955,-0.028964,0.168916,0.380310
528,0,0,-0.041596,0.010290,0.201899,0.793103
529,0,0,-0.024501,-0.009498,0.441279,0.765617
530,0,1,0.024292,-0.069032,0.453273,0.043478
531,0,0,0.030856,-0.039920,0.353823,0.220390
532,0,0,-0.035870,-0.000231,0.299350,0.994503
533,1,0,-0.081259,-0.002009,0.009995,0.944028
534,0,0,0.042410,-0.054921,0.200400,0.099450
535,0,0,-0.022294,0.030782,0.521739,0.364318
536,0,0,0.008258,-0.029045,0.800600,0.359820
537,0,0,-0.013984,-0.050402,0.674163,0.115942
538,0,0,0.043831,-0.062918,0.191904,0.064468
539,0,1,0.064720,-0.070233,0.050475,0.038481
540,0,0,0.010268,-0.044473,0.752624,0.190905
541,0,0,-0.020947,0.015534,0.519740,0.626187
542,1,0,-0.084351,0.028867,0.010995,0.374313
543,0,0,0.007194,-0.050068,0.844078,0.140430
544,0,0,-0.037559,0.045648,0.263368,0.172914
545,0,0,0.002287,-0.009888,0.938531,0.744628
546,1,0,-0.077619,0.020970,0.021489,0.525237
547,0,0,-0.054265,0.014372,0.096952,0.663168
548,0,0,0.003197,-0.037608,0.918041,0.251874
549,0,0,0.022364,-0.041681,0.492754,0.200900
550,0,0,-0.018487,0.046567,0.558221,0.164418
551,0,0,0.000596,-0.005565,0.984008,0.874063
552,0,0,-0.033714,0.021971,0.322839,0.522739
553,0,1,0.007698,-0.069057,0.821589,0.043978
554,0,0,-0.049768,0.002525,0.135932,0.940030
555,0,0,-0.007278,0.005330,0.820590,0.891054
556,0,0,-0.016196,-0.018239,0.630185,0.591704
557,0,0,-0.035368,-0.004190,0.283358,0.902049
558,0,0,-0.037356,0.014464,0.264868,0.677661
559,0,0,0.009251,-0.053897,0.782109,0.107946
560,0,1,0.005326,-0.088878,0.879560,0.009995
561,0,0,-0.020967,-0.045718,0.512244,0.164418
562,0,0,-0.013447,0.005433,0.678161,0.858071
563,0,0,0.024971,-0.048388,0.456772,0.151424
564,0,0,-0.020876,-0.027531,0.537231,0.402799
565,0,0,-0.023878,0.002218,0.482759,0.949025
566,0,0,0.038408,-0.055716,0.242879,0.086957
567,0,0,0.047995,-0.019214,0.138431,0.575212
568,0,0,-0.031100,-0.031034,0.344828,0.345827
569,0,0,0.005804,-0.035402,0.863068,0.278861
570,0,0,-0.020861,-0.021655,0.552724,0.540230
571,0,0,0.014410,-0.031608,0.655672,0.342329
572,0,0,-0.043520,0.018828,0.171414,0.542729
573,0,0,0.006133,-0.032398,0.847076,0.344828
574,0,0,-0.019344,0.009467,0.551224,0.770115
575,0,0,-0.000013,-0.018848,1.000000,0.573713
576,0,0,-0.020940,-0.013277,0.529235,0.689655
577,0,0,-0.038889,0.005873,0.240880,0.848076
578,0,0,0.019670,-0.042710,0.545227,0.194903
579,0,0,-0.014877,-0.034444,0.647176,0.285857
580,0,0,0.021184,-0.005397,0.523738,0.880560
581,0,0,0.026107,-0.039829,0.452274,0.231384
582,0,0,-0.056605,0.023556,0.090455,0.484258
583,0,0,-0.008254,0.008220,0.800100,0.805097
584,0,0,0.002460,-0.039573,0.938531,0.230385
585,0,0,-0.057860,0.036615,0.088456,0.273363
586,0,1,0.025789,-0.070993,0.445777,0.037981
587,1,0,-0.074296,0.018023,0.029985,0.596702
588,0,1,-0.055423,0.065788,0.100950,0.047976
589,0,0,-0.004294,-0.022810,0.901549,0.498751
590,0,0,-0.000372,-0.041345,0.991004,0.214393
591,0,0,-0.001509,-0.035620,0.955522,0.274863
592,0,0,0.035712,-0.011767,0.272864,0.723638
593,0,0,0.008384,-0.040062,0.816092,0.232384
594,0,0,0.043492,-0.057574,0.186907,0.077461
595,0,0,-0.045165,-0.031167,0.163418,0.354823
596,0,0,0.014751,-0.046106,0.643678,0.153923
597,0,0,-0.007840,-0.027062,0.811594,0.435782
598,0,0,0.000314,0.004625,0.993003,0.890055
599,0,0,-0.035302,0.008792,0.276862,0.797101
