year,tau,r2,n_points
2020,14.17540829880353,0.9547035987072398,8
2021,2.63423584179216,0.9078393517011731,6
2022,2.729875352559965,0.7312409873793805,8
2023,26.268846980887982,0.530650429117218,4
2024,16.108790735918845,0.7864888770316643,9
