site,source,tau,ci_lo,ci_hi,le_inf,n_data,n_events,r2
Tarazona,irrigation events,2.5124875649144682,1.9905332202669501,3.2140489532477035,119.87150168965593,682,,
Oran,rain events (rainfed),2.5097541373528984,1.952687675092432,5.755406018805238,17.029877095486114,114,16.0,0.7916880350333717
