date,name,source,variable,value
2018-04-25,TzM,CHIRPS,precipitation,0.0
2018-04-26,TzM,CHIRPS,precipitation,0.0
2018-04-27,TzM,CHIRPS,precipitation,0.0
2018-04-28,TzM,CHIRPS,precipitation,0.0
2018-04-29,TzM,CHIRPS,precipitation,0.0
2018-04-30,TzM,CHIRPS,precipitation,0.0
2018-05-01,TzM,CHIRPS,precipitation,0.0
2018-05-02,TzM,CHIRPS,precipitation,0.0
2018-05-03,TzM,CHIRPS,precipitation,0.0
2018-05-04,TzM,CHIRPS,precipitation,0.0
2018-05-05,TzM,CHIRPS,precipitation,0.0
2018-05-06,TzM,CHIRPS,precipitation,0.0
2018-05-07,TzM,CHIRPS,precipitation,0.0
2018-05-08,TzM,CHIRPS,precipitation,6.76497220993042
2018-05-09,TzM,CHIRPS,precipitation,0.0
2018-05-10,TzM,CHIRPS,precipitation,0.0
2018-05-11,TzM,CHIRPS,precipitation,0.0
2018-05-12,TzM,CHIRPS,precipitation,0.0
2018-05-13,TzM,CHIRPS,precipitation,0.0
2018-05-14,TzM,CHIRPS,precipitation,0.0
2018-05-15,TzM,CHIRPS,precipitation,0.0
2018-05-16,TzM,CHIRPS,precipitation,0.0
2018-05-17,TzM,CHIRPS,precipitation,0.0
2018-05-18,TzM,CHIRPS,precipitation,0.0
2018-05-19,TzM,CHIRPS,precipitation,0.0
2018-05-20,TzM,CHIRPS,precipitation,0.0
2018-05-21,TzM,CHIRPS,precipitation,8.388717651367188
2018-05-22,TzM,CHIRPS,precipitation,0.0
2018-05-23,TzM,CHIRPS,precipitation,0.0
2018-05-24,TzM,CHIRPS,precipitation,0.0
2018-05-25,TzM,CHIRPS,precipitation,0.0
2018-05-26,TzM,CHIRPS,precipitation,0.0
2018-05-27,TzM,CHIRPS,precipitation,14.146735191345217
2018-05-28,TzM,CHIRPS,precipitation,0.0
2018-05-29,TzM,CHIRPS,precipitation,9.431157112121582
2018-05-30,TzM,CHIRPS,precipitation,0.0
2018-05-31,TzM,CHIRPS,precipitation,0.0
2018-06-01,TzM,CHIRPS,precipitation,0.0
2018-06-02,TzM,CHIRPS,precipitation,23.71444129943848
2018-06-03,TzM,CHIRPS,precipitation,0.0
2018-06-04,TzM,CHIRPS,precipitation,0.0
2018-06-05,TzM,CHIRPS,precipitation,0.0
2018-06-06,TzM,CHIRPS,precipitation,0.0
2018-06-07,TzM,CHIRPS,precipitation,0.0
2018-06-08,TzM,CHIRPS,precipitation,0.0
2018-06-09,TzM,CHIRPS,precipitation,0.0
2018-06-10,TzM,CHIRPS,precipitation,0.0
2018-06-11,TzM,CHIRPS,precipitation,0.0
2018-06-12,TzM,CHIRPS,precipitation,0.0
2018-06-13,TzM,CHIRPS,precipitation,0.0
2018-06-14,TzM,CHIRPS,precipitation,0.0
2018-06-15,TzM,CHIRPS,precipitation,0.0
2018-06-16,TzM,CHIRPS,precipitation,0.0
2018-06-17,TzM,CHIRPS,precipitation,0.0
2018-06-18,TzM,CHIRPS,precipitation,0.0
2018-06-19,TzM,CHIRPS,precipitation,0.0
2018-06-20,TzM,CHIRPS,precipitation,0.0
2018-06-21,TzM,CHIRPS,precipitation,0.0
