date,site,CHIRPS_precipitation,LAI_Fpar,LAI_Lai,LST_LST_Day_1km,MOD16_ET,MOD16_PET,PML_ET,PML_Ec,PML_Ei,PML_Es,PML_V2_long_ET,PML_V2_long_Ec,PML_V2_long_Ei,PML_V2_long_Es,PML_V2_long_GPP,S2_NDMI,S2_NDVI,S2_NDWI
2018-01-01,Oran,,0.09032258064516129,0.1,11.467777777777826,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.2741448664049668,0.18736787739036148,-0.31316693795122486
2018-01-02,Oran,,0.09032258064516129,0.1,11.467777777777826,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.2741448664049668,0.18736787739036148,-0.31316693795122486
2018-01-03,Oran,,0.09032258064516129,0.1,11.467777777777826,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.2741448664049668,0.18736787739036148,-0.31316693795122486
2018-01-04,Oran,,0.09032258064516129,0.1,11.467777777777826,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-05,Oran,,0.1688709677419355,0.2290322580645161,12.561111111111188,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-06,Oran,,0.1688709677419355,0.2290322580645161,12.561111111111188,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-07,Oran,,0.1688709677419355,0.2290322580645161,6.512222222222249,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-08,Oran,,0.1688709677419355,0.2290322580645161,9.867777777777803,0.7692307692307693,1.5182692307692311,0.2092,0.048,0.0,0.1612,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-09,Oran,,0.08209677419354838,0.1,9.867777777777803,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-10,Oran,,0.08209677419354838,0.1,9.867777777777803,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-11,Oran,,0.08209677419354838,0.1,9.867777777777803,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-12,Oran,,0.08209677419354838,0.1,8.538888888888891,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,-0.308530788609567,0.15182756919364157,-0.24967794003876093
2018-01-13,Oran,,0.15161290322580645,0.1967741935483871,8.538888888888891,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,,,
2018-01-14,Oran,,0.15161290322580645,0.1967741935483871,8.538888888888891,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,,,
2018-01-15,Oran,,0.15161290322580645,0.1967741935483871,8.934444444444523,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,,,
2018-01-16,Oran,,0.15161290322580645,0.1967741935483871,10.84555555555562,0.8072115384615386,1.5697115384615385,0.23399999999999999,0.048,0.0,0.186,,,,,,-0.29845063970166935,0.16617310994843693,-0.3013299748704401
2018-01-17,Oran,,0.09032258064516129,0.1,13.53222222222223,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.29845063970166935,0.16617310994843693,-0.3013299748704401
2018-01-18,Oran,,0.09032258064516129,0.1,11.123333333333335,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.29845063970166935,0.16617310994843693,-0.3013299748704401
2018-01-19,Oran,,0.09032258064516129,0.1,11.123333333333335,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.29845063970166935,0.16617310994843693,-0.3013299748704401
2018-01-20,Oran,,0.09032258064516129,0.1,11.123333333333335,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.29845063970166935,0.16617310994843693,-0.3013299748704401
2018-01-21,Oran,,0.15548387096774194,0.1967741935483871,15.463333333333367,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.3039443579048865,0.1624505761742104,-0.2922834116012086
2018-01-22,Oran,,0.15548387096774194,0.1967741935483871,17.598888888888837,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.3039443579048865,0.1624505761742104,-0.2922834116012086
2018-01-23,Oran,,0.15548387096774194,0.1967741935483871,14.141111111111172,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.3039443579048865,0.1624505761742104,-0.2922834116012086
2018-01-24,Oran,,0.15548387096774194,0.1967741935483871,17.876666666666665,0.5528846153846154,2.5533653846153848,0.3893333333333334,0.0784,0.0,0.3109333333333334,,,,,,-0.3039443579048865,0.1624505761742104,-0.2922834116012086
2018-01-25,Oran,,0.15483870967741936,0.1967741935483871,17.876666666666665,0.7230769230769232,1.7581730769230768,0.4994666666666666,0.056,0.0021333333333333,0.4413333333333333,,,,,,-0.3039443579048865,0.1624505761742104,-0.2922834116012086
2018-01-26,Oran,,0.15483870967741936,0.1967741935483871,6.3250000000000455,0.7230769230769232,1.7581730769230768,0.4994666666666666,0.056,0.0021333333333333,0.4413333333333333,,,,,,-0.05912092041112647,0.11008766629297345,-0.16541043695514526
2018-01-27,Oran,,0.15483870967741936,0.1967741935483871,6.3250000000000455,0.7230769230769232,1.7581730769230768,0.4994666666666666,0.056,0.0021333333333333,0.4413333333333333,,,,,,-0.05912092041112647,0.11008766629297345,-0.16541043695514526
