scope,n_data,tau,tau_lo,tau_hi,le0,le0_lo,le0_hi,le_inf,le_inf_lo,le_inf_hi,r2,failure_rate,n_boot_success,year
全期間,587,4.404878143292621,2.503318309395998,16.552023916311956,216.31839969807942,198.6228201555455,231.32523350757472,101.5513543215096,6.046490009603606e-11,126.80630903172907,0.8647882066787701,0.0,5000,
2020,89,14.17540829880353,0.5000000000000153,40.24081475874018,199.47005093473916,,,1.2030647804673624e-12,,,0.9547035987072398,0.0,5000,2020.0
2021,119,2.63423584179216,0.5000000000000001,15.986818096358563,195.96703569980588,,,104.32007986774153,,,0.9078393517011731,0.0,5000,2021.0
2022,136,2.729875352559965,1.22010855435041,28.3840359759046,178.59673543183538,,,125.62521720752063,,,0.7312409873793805,0.0,5000,2022.0
2023,91,26.268846980887982,0.5000000000000001,99.99999999999999,267.5431735497071,,,2.2968044547429928e-09,,,0.530650429117218,0.1852,4074,2023.0
2024,152,16.108790735918845,1.5538082112051343,32.87811767209802,219.02829704052556,,,2.541156382113079e-13,,,0.7864888770316643,0.0,5000,2024.0
