date,site,sm_surface_mean,sm_rootzone_mean,n_obs_surface,n_obs_rootzone
2018-01-01,Oran,0.12043679743150214,0.16620252189821882,8,8
2018-01-01,TzM,0.16976685890633805,0.22283113257665377,8,8
2018-01-02,Oran,0.11856451326462086,0.16603473032229257,8,8
2018-01-02,TzM,0.17168896978622986,0.22271135204324594,8,8
2018-01-03,Oran,0.10094651768258844,0.16486895125298223,8,8
2018-01-03,TzM,0.15692562892677653,0.2215673304898174,8,8
2018-01-04,Oran,0.09187890606336904,0.1641556806679143,8,8
2018-01-04,TzM,0.1569961101600998,0.22122875846138124,8,8
2018-01-05,Oran,0.08981850933527843,0.16382903800513898,8,8
2018-01-05,TzM,0.15658968668982481,0.2209454501341832,8,8
2018-01-06,Oran,0.146291545796834,0.16809068876089617,8,8
2018-01-06,TzM,0.2096686160136749,0.22627916000783438,8,8
2018-01-07,Oran,0.19742414539099715,0.17836711745648107,8,8
2018-01-07,TzM,0.24433809880927002,0.23734497406372895,8,8
2018-01-08,Oran,0.17929769474707663,0.17874210405423013,8,8
2018-01-08,TzM,0.22904634495314793,0.2357959952205419,8,8
2018-01-09,Oran,0.16541253532908978,0.17761181738899376,8,8
2018-01-09,TzM,0.21755809032995443,0.2338696636847759,8,8
2018-01-10,Oran,0.16349434274874747,0.17683584354207163,8,8
2018-01-10,TzM,0.22776037552639053,0.23385123967340116,8,8
2018-01-11,Oran,0.15848485444534996,0.175934554013561,8,8
2018-01-11,TzM,0.2198663376467792,0.23325265493047861,8,8
2018-01-12,Oran,0.1517202641814947,0.17505928894169015,8,8
2018-01-12,TzM,0.20440172531494963,0.23183608555087912,8,8
2018-01-13,Oran,0.1408440321683883,0.17390916001845574,8,8
2018-01-13,TzM,0.19932494743874196,0.23082280453098444,8,8
2018-01-14,Oran,0.15913950465619559,0.17457776958214455,8,8
2018-01-14,TzM,0.2052442871622349,0.23087579453069912,8,8
2018-01-15,Oran,0.16857112382279063,0.17542139084734876,8,8
2018-01-15,TzM,0.1993493673048521,0.23051688300543705,8,8
2018-01-16,Oran,0.1521757745657299,0.17437309426728814,8,8
2018-01-16,TzM,0.19144884996900427,0.2296783246688152,8,8
2018-01-17,Oran,0.14353298615725313,0.17353310992971793,8,8
2018-01-17,TzM,0.18515424783292567,0.2288790584394806,8,8
2018-01-18,Oran,0.14001112955271217,0.17297972583624177,8,8
2018-01-18,TzM,0.18925291946844047,0.22881638043020897,8,8
2018-01-19,Oran,0.13049735602174622,0.17216007970884195,8,8
2018-01-19,TzM,0.18612629302630293,0.22848703398516299,8,8
2018-01-20,Oran,0.11823275359500135,0.17084429686675306,8,8
2018-01-20,TzM,0.18005943710082453,0.22765385124244183,8,8
2018-01-21,Oran,0.10983659596044992,0.16994158867441236,8,8
2018-01-21,TzM,0.16925216819110667,0.2264608697671639,8,8
2018-01-22,Oran,0.11090606126140373,0.16948785008709935,8,8
2018-01-22,TzM,0.16096332984498551,0.22536918148398394,8,8
2018-01-23,Oran,0.11261815001852195,0.16920215634659663,8,8
