date,sif
2018-02-02,0.0436514
2018-02-10,-0.0216924
2018-02-18,0.0427333
2018-03-06,-0.000657177
2018-03-14,0.0972864
2018-03-22,0.113536
2018-03-30,0.082352
2018-04-07,0.0412453
2018-04-15,0.277371
2018-04-23,0.219221
2018-05-01,0.326494
2018-05-09,0.428503
2018-05-17,0.386722
2018-05-25,0.746262
2018-06-02,0.759069
2018-06-10,0.516014
2018-06-18,0.839029
2018-06-26,0.601485
2018-07-04,0.916961
2018-07-12,0.784134
2018-07-20,0.800255
2018-07-28,0.552133
2018-08-05,0.59483
2018-08-13,0.686767
2018-08-21,0.591801
2018-08-29,0.383509
2018-09-06,0.400562
2018-09-14,0.38629
2018-09-22,0.226454
2018-09-30,0.186212
2018-10-08,0.139508
2018-10-16,0.140158
2018-10-24,0.123048
2018-11-01,0.124144
2018-11-09,0.0523531
2018-11-17,-0.000201255
2018-11-25,-0.0295454
2018-12-03,-0.019805
2018-12-11,-0.00920797
2018-12-19,0.0720562
2018-12-27,-0.00906039
2019-01-01,0.016792
2019-01-09,-0.00314089
2019-01-17,-0.0197945
2019-01-25,0.00966588
2019-02-02,-0.0777515
2019-02-10,-0.0658499
2019-02-18,-0.00495953
2019-02-26,0.181131
2019-03-06,0.0296334
2019-03-14,0.0144112
2019-03-22,0.0385992
2019-03-30,0.126396
2019-04-07,0.0120846
2019-04-15,0.151405
2019-04-23,-0.103416
2019-05-01,0.161592
2019-05-09,0.305273
2019-05-17,0.369369
2019-05-25,0.58055
2019-06-02,0.452987
2019-06-10,0.581827
2019-06-18,0.265406
2019-07-04,0.275703
2019-07-12,0.315793
2019-07-20,0.559344
2019-07-28,0.63083
2019-08-05,0.580329
2019-08-13,0.512492
2019-08-21,0.407061
2019-08-29,0.438865
2019-09-06,0.401236
2019-09-14,0.323959
2019-09-22,0.324882
2019-09-30,0.2896
2019-10-08,0.255709
2019-10-16,0.16672
2019-10-24,0.186814
2019-11-01,0.150128
2019-11-09,0.110081
2019-11-17,-0.0038578
2019-11-25,-0.00485078
2019-12-03,0.0413443
2019-12-11,-0.0111764
2019-12-19,-0.00805265
2019-12-27,0.00878157
2020-01-01,-0.0295295
2020-01-09,0.1045
2020-01-17,-0.0276463
2020-01-25,0.0118003
2020-02-02,0.00156682
2020-02-10,-0.0967622
2020-02-18,-0.0031785
2020-02-26,-0.0460596
2020-03-05,0.0223613
2020-03-13,0.0323501
2020-03-21,-0.0046224
2020-03-29,0.0751272
2020-04-06,0.0738031
2020-04-14,0.217148
2020-04-22,-0.0766822
2020-04-30,0.1515
2020-05-08,0.258382
2020-05-16,0.387607
2020-05-24,0.8415
2020-06-01,0.794025
2020-06-09,0.681624
2020-06-17,0.552949
2020-06-25,0.356129
2020-07-11,0.0166667
2020-07-19,0.170482
2020-07-27,0.56676
2020-08-04,0.623667
2020-08-12,0.60669
2020-08-20,0.445791
2020-08-28,0.215951
2020-09-05,0.356199
2020-09-13,0.122778
2020-09-21,0.237816
2020-09-29,0.227749
2020-10-15,0.142872
2020-10-23,0.108315
2020-10-31,0.0756182
2020-11-08,0.0419818
2020-11-16,0.0641813
2020-11-24,-0.0264276
2020-12-02,0.028669
2020-12-10,0.0359107
2020-12-18,-0.00573033
2020-12-26,-0.0415097
2021-01-01,-0.000656142
2021-01-09,-0.00774459
2021-01-17,0.0177954
2021-01-25,0.014193
2021-02-02,0.00644478
2021-02-10,0.0375453
2021-02-18,0.0255526
2021-02-26,-0.0366093
2021-03-06,0.0431535
2021-03-14,0.0860096
2021-03-22,0.037384
2021-03-30,0.0514834
2021-04-07,0.322094
2021-04-15,0.0907297
2021-04-23,0.224972
2021-05-01,0.174387
2021-05-09,0.394052
2021-05-25,0.656714
2021-06-02,0.527701
2021-06-10,0.565623
2021-06-18,0.521026
2021-07-04,0.551816
2021-07-12,0.625531
2021-07-20,0.483852
2021-07-28,0.604485
2021-08-05,0.41927
2021-08-13,0.662407
2021-08-21,0.36373
2021-08-29,0.632835
2021-09-06,0.366317
2021-09-14,0.28738
2021-09-22,0.116627
2021-09-30,0.290662
2021-10-08,0.195851
2021-10-16,0.11779
2021-10-24,0.103719
