year,"エネルギー Rg,Ta,γH,γLE","光合成制御 Rg,Ta,VPD,GEP","呼吸制御 Rg,Ta,θ,GER","土壌熱 Ta,Ts,θ,GER","炭素コア Rg,GEP,GER,NEE","蒸発制御 Rg,VPD,θ,γLE",VPD_mean,SWC_mean,Ta_mean
1999,12.828407880428156,28.38375540711715,-13.833368863868042,-14.437435322224339,2.2381235765975855,18.737478106307915,3.034722546553627,0.37636424731182794,17.824462365591398
2000,27.667979463818718,22.926271137515275,-9.621861800926899,0.9249543779423393,6.184204990526891,14.763752563187788,4.34413648732748,0.33680645161290323,18.701425766975287
2001,24.071816720612134,17.67844468227347,-15.35232635745605,-11.38935312006904,-3.753728275596772,13.539864074845966,3.628732486171591,0.3443813844086021,18.41087195243444
2002,29.551702251398815,23.5251617586659,-10.542388334134445,15.824473451745995,25.717030974928008,19.222229749010584,3.612690657752962,0.3642127016129032,18.588784172951712
2003,27.505654967021155,27.929588302648074,-8.25319683131412,2.875744550647119,32.835621989326874,16.25428318402956,1.9663970960556152,0.39798051075268814,16.589357786902916
2004,26.373996368074483,15.634168332565675,-5.572129469988819,2.7143979629209585,18.38402802838272,13.389390382653996,4.722311512211665,0.3250003360215054,18.877352150537636
2005,20.874465434844485,16.300799165583488,-6.3017983242734505,-3.933656144141214,29.285584418430137,8.464966725227121,2.8315956906693356,0.36415288978494625,17.919388440860217
2006,13.447689007515335,25.05010388607267,-4.610403198842724,-1.902554076107527,23.522105016566965,9.301132375358653,2.5459912641302216,0.3622163978494624,18.437432795698925
2007,31.18273548419178,29.539516806119348,-9.732736942005056,-8.306331630416334,26.002904761890363,16.54877293079939,2.923808073285305,0.3766656586021505,17.82973790322581
2008,19.78125071913684,25.122906870571875,-5.42724607135532,19.89465629321657,15.899176044905943,9.555502959950887,3.2373755268369804,0.3607879704301075,18.62342069892473
2009,8.282368435960331,19.922361385528422,-10.599108153199493,-0.3917120219345615,25.44296451850056,3.8561394942315887,1.5591642830584511,0.4002536962365592,17.499529569892474
2012,18.50745310024985,27.078561779949013,0.032549162069896324,-8.404754752471543,18.269673768468206,14.784757414123641,2.5248804674868297,0.4033796452964207,18.795791011264132
2013,11.010198099431964,17.493948881827556,-6.622630914738173,-0.038876776786184127,22.08446468451705,7.865847366035003,3.9053153919308183,0.376533938172043,18.68854166666667
2014,10.014502072678912,29.133479148203424,-4.69308712317651,-6.904950165322639,36.55033507366379,10.493092575978036,2.5301466582884697,0.3852379032258065,17.950957918066592
2015,17.505913825995762,32.00423417259697,-4.408292040637798,-10.33238288094735,19.073739363713965,6.404669224278338,3.2189691324882674,0.37847315391821446,18.445867941446146
2016,16.278440565856826,22.829705110630034,-6.569028340141146,-11.28657162173527,17.063241780879874,7.687510605502962,2.6322160802267502,0.390005376344086,18.477217741935483
2017,18.706150222114882,25.909700704795835,-6.735529383132501,-11.367344886387844,24.23718980401957,8.865150915380164,2.306354188171295,0.39944455645161286,19.0565188172043
2018,6.37634565396712,17.769682352320487,-6.271213981813901,4.206481816738714,9.481366142186028,3.7032814255813826,4.261857747327744,0.3030893817204301,19.980577956989247
2019,9.632698056838167,28.09003943376136,-9.121114572531967,-11.986537145265396,18.39396830164108,4.781345228285007,2.5336471262051052,0.3372288306451613,18.72511676484961
2020,20.76988798598022,32.59454807782645,-6.599420624359159,-16.212414091791608,45.82789950107596,5.79663576436646,2.7902282313768163,0.3422644489247312,18.883945119908514
2021,15.898031867966193,24.5070273618724,1.6444634464066288,1.9902575847315431,20.32976579246671,17.23709546100336,2.3385807835481076,0.3652577284946237,18.673420698924733
