site,subsystem,n_years,n_syn,n_red,syn_frac,mean_z
JP-Om2,"炭素コア Rg,GEP,GER,NEE",1,0,1,0.0,32.258279109313925
JP-Om2,"土壌熱 Ta,Ts,θ,GER",1,1,0,1.0,-6.452487237397625
JP-Om2,"エネルギー Rg,Ta,γH,γLE",1,0,1,0.0,54.122065324180184
JP-SMF,"呼吸制御 Rg,Ta,θ,GER",12,8,4,0.6666666666666666,-2.948297990468506
JP-SMF,"蒸発制御 Rg,VPD,θ,γLE",12,0,12,0.0,22.164235998673064
JP-SMF,"光合成制御 Rg,Ta,VPD,GEP",12,0,12,0.0,36.71156171156681
JP-SMF,"炭素コア Rg,GEP,GER,NEE",12,0,12,0.0,25.935472076595307
JP-SMF,"土壌熱 Ta,Ts,θ,GER",12,9,2,0.75,-4.162201727372261
JP-SMF,"エネルギー Rg,Ta,γH,γLE",12,0,12,0.0,40.131240596822025
JP-Sb1,"呼吸制御 Rg,Ta,θ,GER",4,2,0,0.5,-2.987977495754638
JP-Sb1,"蒸発制御 Rg,VPD,θ,γLE",4,0,4,0.0,30.984095937041666
JP-Sb1,"光合成制御 Rg,Ta,VPD,GEP",4,0,4,0.0,18.966546139944974
JP-Sb1,"炭素コア Rg,GEP,GER,NEE",4,0,4,0.0,21.49651791137893
JP-Sb1,"土壌熱 Ta,Ts,θ,GER",4,0,2,0.0,4.86879188729176
JP-Sb1,"エネルギー Rg,Ta,γH,γLE",4,0,4,0.0,44.50545931598053
JP-Sb2,"呼吸制御 Rg,Ta,θ,GER",4,2,1,0.5,-1.2714855634030127
JP-Sb2,"蒸発制御 Rg,VPD,θ,γLE",4,0,3,0.0,23.868655441300305
JP-Sb2,"光合成制御 Rg,Ta,VPD,GEP",4,0,4,0.0,22.737071478995666
JP-Sb2,"炭素コア Rg,GEP,GER,NEE",4,0,4,0.0,26.08300021836423
JP-Sb2,"土壌熱 Ta,Ts,θ,GER",4,0,3,0.0,12.007965482230805
JP-Sb2,"エネルギー Rg,Ta,γH,γLE",4,0,4,0.0,38.20808302237224
JP-Spp,"呼吸制御 Rg,Ta,θ,GER",11,10,0,0.9090909090909091,-8.957146668099279
JP-Spp,"蒸発制御 Rg,VPD,θ,γLE",11,0,11,0.0,17.298708678506227
JP-Spp,"光合成制御 Rg,Ta,VPD,GEP",11,0,11,0.0,17.755630923391365
JP-Spp,"炭素コア Rg,GEP,GER,NEE",11,0,11,0.0,21.32346472771866
JP-Spp,"土壌熱 Ta,Ts,θ,GER",11,7,4,0.6363636363636364,-5.267163526968449
JP-Spp,"エネルギー Rg,Ta,γH,γLE",11,0,11,0.0,34.57672046100854
JP-Ta2,"呼吸制御 Rg,Ta,θ,GER",11,6,1,0.5454545454545454,-4.990973842563014
JP-Ta2,"蒸発制御 Rg,VPD,θ,γLE",11,0,11,0.0,21.169791527322683
JP-Ta2,"光合成制御 Rg,Ta,VPD,GEP",11,0,11,0.0,33.89231241353213
JP-Ta2,"炭素コア Rg,GEP,GER,NEE",11,0,11,0.0,18.11387182270896
JP-Ta2,"土壌熱 Ta,Ts,θ,GER",11,10,0,0.9090909090909091,-13.701662274432215
JP-Ta2,"エネルギー Rg,Ta,γH,γLE",11,0,11,0.0,39.10221381607976
JP-Tak,"呼吸制御 Rg,Ta,θ,GER",21,19,0,0.9047619047619048,-7.104279462829479
