date,SWC,LE,H,G,Rn,VPD,ET,EF,site,NDVI
2018-01-01,14.905544999999998,15.666822091666667,0.9407501687500002,-13.4968061875,4.187606145833335,0.5124524729166666,1.205245812552432,0.8859113775658967,Oran,0.218
2018-01-02,14.500921875000001,6.598005159375,-2.4719371875,-2.694706666666667,2.6232904166666664,0.4393803,0.5508804190392729,,Oran,0.218
2018-01-03,14.572797083333334,2.13944265125,5.457809789166667,2.936559491666667,11.668451770833334,0.34122809374999996,0.3576021006316903,,Oran,0.218
2018-01-04,14.709615625,7.6081265,23.19894616666667,6.885801355833333,42.55300341666666,0.37534866250000004,0.5340056058173323,0.21330875595522514,Oran,0.218
2018-01-05,14.18256625,9.395367370833332,17.406296541666666,-12.50146608125,15.633855583333334,0.47495951666666664,0.6883507896425672,0.33393495488840264,Oran,0.218
2018-01-06,14.207360208333334,15.181162347916667,-3.3267091229166668,-11.305374670833332,-0.4551537187500004,0.29885928125,1.074205086981001,1.3991569770753616,Oran,0.218
2018-01-07,15.359618333333332,19.831297062916665,21.483327833333334,-14.774901875,28.094102708333335,0.3282149125,1.4057805078359038,0.46260222871204015,Oran,0.2224
2018-01-08,14.601343125,8.700051761875,29.585876011666667,-10.754002729166666,26.863009479166667,0.26835154375000003,0.6374952502541781,0.23127971231983355,Oran,0.2224
2018-01-09,13.940622500000002,8.955775055625,7.995603958333334,-9.219585135416667,6.949224770833332,0.28025808333333335,0.6594717336350611,0.5538920370486375,Oran,0.2224
2018-01-10,15.600166041666666,27.68981046521739,-4.343730815217391,4.255414011458334,25.18478142875,0.33040342826086955,1.9041141046348669,1.3230122971772336,Oran,0.2224
2018-01-11,18.159041041666665,22.59620575,-0.6911252083333329,-13.030570270833332,14.20997319375,0.35392885416666664,1.570701241868414,0.829506422270112,Oran,0.2224
2018-01-12,16.382618958333335,9.973425731875,15.36746075,-10.623119714583334,17.570455604166664,0.35919097291666663,0.7219443885470543,0.3537481720256396,Oran,0.2268
2018-01-13,15.658551875,11.053787776666667,3.2977229458333333,-5.3828459125,5.8454889375,0.39919848333333335,0.8011962338193379,0.9844547677224524,Oran,0.2268
2018-01-14,15.896470833333334,15.426792339791668,0.8912514854166663,-2.3606252277083333,15.750579979166668,0.28582849791666665,1.0778632790506082,0.8517816547037779,Oran,0.2268
2018-01-15,15.716131666666667,8.273583181666666,23.653266918750003,-8.295490916666667,28.581695333333332,0.2979996020833333,0.6280928601806018,0.22435505587595272,Oran,0.2268
2018-01-16,15.251118750000002,10.45758484625,18.167595490416666,-5.544475066666667,25.99012689583333,0.44095507708333337,0.8357519318316409,0.33162254144465964,Oran,0.2268
2018-01-17,15.026845416666667,5.708794785416667,21.47568247291667,1.325553458333334,33.54625700208334,0.4131837583333334,0.5034441591379069,0.17717784398050573,Oran,0.2268
2018-01-18,14.708328125,6.591526158333333,26.512359495833334,-3.0821340187499993,30.749713645833335,0.37556910416666667,0.5727342146105109,0.1948319885949839,Oran,0.2268
2018-01-19,14.530355416666666,5.991967778749999,8.688819425,-5.215985854166667,11.843739229166667,0.4323402458333333,0.5020820901738854,0.351234720927825,Oran,0.2268
2018-01-20,14.326106875,11.256732745208334,-2.4932372916666665,-0.7257641666666665,10.582062229166667,0.6694803916666667,0.8316581390064772,0.9954815674704888,Oran,0.2268
2018-01-21,14.246690000000001,7.2520568875,8.019126145833335,3.9292653645833333,26.0623848125,0.595096275,0.5357930606369669,0.3276563389343032,Oran,0.2268
2018-01-22,14.059928124999999,5.897764958333333,16.794025375,-1.7293091000000003,20.0480475625,0.5924196645833334,0.5811594387580494,0.27082097472780614,Oran,0.2268
2018-01-23,13.585630625,7.672274929791667,28.992068283124997,-8.026470187500001,30.045572916666668,0.4438338062500001,0.6092213951650236,0.2015199160391789,Oran,0.2213
2018-01-24,13.486590208333332,9.253950327916668,15.757287333333332,0.2913138749999998,24.386339354166665,0.6480987270833334,0.7159417144678356,0.3840606159938669,Oran,0.2213
2018-01-25,13.263877916666667,12.045518556041666,22.162743759479167,-2.1661343958333332,32.53658472916667,0.4767636666666667,0.862494709520546,0.3471059000493139,Oran,0.2213
2018-01-26,16.10315625,35.76936110416667,-1.9774346250000001,-15.964021412500001,35.81802002083333,0.3169166297916667,2.528199739448844,0.690767689223258,Oran,0.2213
2018-01-27,15.847175208333333,12.014760437500001,22.621886916666668,-7.442864854166667,31.154714520833334,0.41233905416666666,0.8393370393682978,0.31128274446355747,Oran,0.2213
2018-01-28,20.111433958333333,24.34125742770833,-0.8078219208333332,1.6000661458333332,27.195770395833335,0.37737536875,1.8368859192946805,0.9509899469833236,Oran,0.2158
2018-01-29,19.47017375,12.605584285979168,14.872366729166666,-0.8608003187500001,28.26387766666667,0.3645205395833333,0.9572877935805976,0.43281454621716486,Oran,0.2158
2018-01-30,17.992008541666667,13.862347710416666,24.939397608333334,-7.3066710187499995,38.3955079625,0.28474845625,1.134886626117999,0.30331918563672644,Oran,0.2158
2018-01-31,17.470188958333335,11.82010571875,20.210305916666666,-0.8592741875,39.15796395833333,0.3731990208333334,0.9942509588653367,0.29537534988482783,Oran,0.2158
