date,SWC,LE,H,G,Rn,VPD,ET,EF,Irrig_mm,Rain_mm,IrrigRain_mm,GPP_avg,NDVI_orig,NDVI_interp,Fv_interp,site,NDVI
2020-06-18,10.45698924731183,177.0648379310345,49.50357236551724,34.5384903209876,306.7962621483376,3.3679,3.837875995,0.6503573313724125,0.0,0.0,0.0,0.000150370334201,,,0.2311341310400636,Tarazona,0.39435
2020-06-19,9.896874999999989,184.8817817241379,34.57329896551724,48.23721966790129,305.8360858541317,4.2399700000000005,3.60555744,0.7177119389589166,0.0,0.0,0.0,0.0001480248657254,0.46,0.46,0.2329705156735145,Tarazona,0.39435
2020-06-20,9.7875,250.9446705263158,13.43192478947369,38.27815100000026,342.1300749956733,4.73548,5.3164213325,0.8258781686368041,13.65,0.0,13.65,0.000158508173495,,0.46,0.2348247356518793,Tarazona,0.391
2020-06-21,10.359375,298.6804803448276,-19.10780274137931,38.58841492222224,337.0867025121893,5.27358,6.30339405,1.0006103644892959,0.0,0.0,0.0,0.0001508230931171,,0.46,0.2366672198986635,Tarazona,0.391
2020-06-22,9.60833333333333,235.2402033898305,0.5716387118644067,39.72039406222204,327.5409003238731,4.541600000000001,5.13982245,0.8173156473290997,0.0,0.0,0.0,0.0001535278978753,0.46,0.46,0.2384976625520115,Tarazona,0.391
2020-06-23,8.915625,247.9965210526316,26.54074914736842,44.76264387654336,340.0460786236692,4.49176,5.231975225,0.8398592398690102,0.0,0.0,0.0,0.0001784418657674,,0.462,0.2403157578082755,Tarazona,0.391
2020-06-24,8.34062499999999,172.408025862069,-22.84344556896552,11.4073439755555,187.1602480251471,2.93584,3.6927774,0.9809682906486781,0.0,0.0,0.0,0.000162032378039,,0.464,0.2421212007563251,Tarazona,0.391
2020-06-25,7.98645833333333,224.7515588421053,29.44314290561404,44.77005872839513,335.2287306501548,4.55546,4.7465584925,0.7737815412949565,0.0,0.0,0.0,0.0001979375435335,,0.466,0.2439136850492408,Tarazona,0.391
2020-06-26,8.26770833333333,216.7288830357143,-4.013480248214286,42.01832040740739,286.7534622827392,4.12691,4.492269675,0.8855650290962958,12.35052,0.0,12.35052,0.0001604927026344,,0.468,0.2456929060087229,Tarazona,0.391
2020-06-27,9.80104166666667,273.7148117543859,-3.496767543859649,33.35517559259279,325.4896077598087,4.60616,5.774272375,0.9369481362529469,12.48,0.0,12.48,0.0001705363091698,0.47,0.47,0.247458557113229,Tarazona,0.391
2020-06-28,11.40625,251.9005882758621,0.5986273637931034,48.51334966666668,338.1207307900672,4.84854,5.4316803675,0.869800304462987,10.92,0.0,10.92,0.0001740680493436,,0.465,0.2492103332964083,Tarazona,0.391
2020-06-29,10.55416666666667,267.9029846034483,-22.47236965517241,41.2261860246912,328.0834378252051,4.80393,5.768888424,0.9339243924352773,0.0,0.0,0.0,0.0001600251456325,0.46,0.46,0.2509479287934179,Tarazona,0.391
2020-06-30,9.779166666666669,254.7991607142857,-19.5803375,41.16024864197536,328.0704899133567,4.48436,5.156337925,0.8880796990208427,0.0,0.0,0.0,0.0001506585625304,,0.4566666666666667,0.2526710381304535,Tarazona,0.391
2020-07-01,9.13437499999999,319.1915717241379,-32.0181425862069,47.60808346913576,334.5742528378668,5.597060000000001,6.8737994875,1.1122968690919084,0.0,0.0,0.0,0.0001523933229008,,0.4533333333333334,0.2543793556202824,Tarazona,0.38745
2020-07-02,8.53854166666667,292.8741030357143,-4.260001803571429,42.85267680246913,329.8606101634057,5.026,6.0842899125,1.0204390506077077,0.0,0.0,0.0,0.0001492191004332,0.45,0.45,0.2560725758085027,Tarazona,0.38745
2020-07-03,8.04583333333334,219.6013841071428,46.54674628070175,43.96126381481495,326.137785698261,5.14245,4.563747385,0.7782411613885081,0.0,0.0,0.0,0.0001591271112561,,0.455,0.2577503927944538,Tarazona,0.38745
2020-07-04,7.676041666666671,203.0882254385965,43.94076561403509,40.63742577777793,324.6531032248139,5.73116,4.29741176,0.7150599124108878,0.0,0.0,0.0,0.0001572249941313,0.46,0.46,0.2594125012789543,Tarazona,0.38745
2020-07-05,7.360416666666671,199.2039514285714,39.99676029824561,42.36274676543216,331.4268746097982,5.87587,4.4782093,0.6891341132989843,0.0,0.0,0.0,0.0001573517696027,,0.45,0.2610585955165637,Tarazona,0.38745
2020-07-06,7.103125,239.0842548214286,16.68273839285714,47.20895748148142,316.4066697113628,6.48623,4.9796528,0.8881362803605948,0.0,0.0,0.0,0.0001633491787005,,0.44,0.2626883699946727,Tarazona,0.3839
2020-07-07,6.816666666666659,247.8085840350877,17.60315028070175,42.9879716296294,330.3716261882328,6.158939999999999,5.25675163,0.8622918530829471,2.60052,0.0,2.60052,0.0001509971846662,0.43,0.43,0.2643015191812689,Tarazona,0.3839
