site,tau_ec,se_ec,tau_sat,tau_se_sat,ci_lo_sat,ci_hi_sat,n_events_sat,amp_sat,le_inf_sat,r2_sat,valid_sat,reason,MDE,diff,significant_diff
Oran,2.82,0.9,,,,,0,,,,False,no events found,,,
Tarazona,3.36,0.62,0.5000000000000284,,,,45,1.0000000000000036,21.27,-0.8184970332687165,False,tau=0.50 pegged at floor (0.5),,,
