event_start,n_le,le0,tau,r2
2020-06-20,6,236.4262765081682,8.305172637693662,0.3748678360084633
2020-06-28,9,248.18236944563031,14.993106383097574,0.28900363460135203
2020-07-07,12,166.67072746705415,59.99999999998956,-0.003696076502275325
2020-07-19,4,168.72814198410137,9.857989894742218,0.16875293957068072
2020-07-25,5,204.77326978547796,24.9148938741139,0.10714917863186446
2020-08-04,4,178.22491262106723,31.672790503319586,0.10751153071186792
2020-08-08,10,283.6508919035158,3.075033219288195,0.6122017350100831
2020-08-26,10,208.7107531103092,1.1618293188254691,0.3859118552326092
2020-09-05,8,100.00000000000009,59.99999999999913,-1.5604162009451525
2020-09-16,7,100.00000000000001,59.99999999999999,-1.0351608003087698
2020-09-29,9,100.00000000000239,59.99999999996965,-0.5234540820304432
2021-05-08,4,120.41492842541324,59.99999999999999,-0.007339739511301513
2021-05-16,6,100.00001243823354,2.544588092503268,0.05499477210362014
2021-05-22,7,142.74726851108684,27.835236793016744,0.0012491187926871872
2021-05-29,15,165.08434005027758,59.99999999999483,-0.01768801171505907
2021-06-26,5,197.75442016137708,6.6587311439648245,0.515795265574385
2021-07-03,4,255.4546861325559,8.877729807620442,0.530496229902202
2021-07-10,5,245.76848238952647,10.353149673705715,0.16099333714823338
2021-07-24,6,291.80059354114513,2.1945875949690166,0.9031444409171521
2021-08-07,4,193.44223689523315,0.5000000000000001,0.8921905110203205
2021-08-21,5,170.42551980791833,2.903599394125227,0.3668164707990047
2021-08-26,15,167.23401286766318,7.845101036192183,0.1840333312364687
2021-09-18,15,100.00000000003988,59.99999999998065,-0.5430138209029154
2022-06-04,11,181.23545841004955,11.51808583164546,0.13986855045883617
2022-06-18,7,250.04376262635168,2.9229924137187973,0.7730198057605017
2022-06-25,6,206.14535559746955,3.887277307560811,0.742647049472565
2022-07-01,4,167.78122721235835,59.99999999999894,-0.06253300552370722
2022-07-07,5,191.37463475196984,12.025991479072044,0.28680233504707187
2022-07-12,4,208.06370168622138,7.056272334038073,0.3693697627494832
2022-07-19,5,215.61937851736053,3.025313210595928,0.45642076766051964
2022-07-30,6,186.49398744193743,2.560618735103943,0.34344729581933453
2022-08-08,5,250.12367673928273,0.8363327612235049,0.9597345207886391
2022-08-13,7,202.39708362827238,4.044213063719929,0.8020212654811224
2022-08-20,15,191.03903768554355,2.523485278884617,0.4502552583977243
2022-09-06,4,100.00000000000003,59.99999999999999,-0.1354858082244219
2022-09-13,15,100.00000000000001,21.524419815139364,0.011332504740916516
2022-10-01,14,117.43166905144972,4.17220414144298,-0.026202127883317328
2022-10-15,8,126.10900742272561,0.5000000000000001,0.01180966582004117
2023-06-24,7,270.99802949391886,17.477294531309802,0.19715892238403787
2023-07-01,4,207.7569640396856,14.97488121179032,0.09957567559789793
2023-07-20,4,321.9482426756643,3.901063656371371,0.9085287499016989
2023-08-26,4,268.9714392009599,6.264689797806067,0.4368087005072241
2023-09-10,9,138.58226913574677,0.5000000000000001,0.005809879286828745
2024-05-04,6,130.0329982181744,59.99999999999999,-0.05570975014392143
2024-05-11,11,172.59598174313078,5.143341468707672,0.5940280574216403
2024-06-01,5,184.62384977102005,59.99999999999199,-0.11422803240629698
2024-06-06,9,228.46229680966258,11.204954125637137,0.13484139752398994
2024-06-15,4,254.31200488796728,5.424599397972594,0.8092935965521443
2024-06-23,13,206.8654569317655,59.99999999999999,-0.02039538103144256
2024-07-06,4,206.43551782810079,13.555939627412599,0.1220173145289335
2024-07-13,4,247.20612271790216,59.99999999999992,-0.012680418167472007
2024-07-17,7,236.50295706710668,30.37122747627259,0.04193004969550718
2024-07-27,4,247.15546130252466,59.99999999999905,-0.055699894775954384
2024-08-04,5,250.43663533147932,8.591365654426902,0.6549092456075472
2024-08-09,5,262.4577318766581,59.99999999999969,-0.2159149236034219
2024-08-14,4,210.1298764361152,59.99999999999999,-0.2660250191377176
2024-08-18,13,292.0567328384398,3.9742824677544437,0.7800343938761903
2024-08-31,6,115.20606866256746,1.0644202042906048,-0.2599366195050625
2024-09-08,15,145.21674132117886,0.9335026072468547,-0.15700078520447036
2024-09-28,14,100.00000000004584,59.99999999994588,-1.042459647635591
