method,lo,hi,width,n_fail
iid,2.510764379500652,4.775874533585608,2.265110154084956,0
block_L3,2.348351505004398,5.530795709020087,3.1824442040156895,0
block_L5,2.2845106033407063,5.981586831157195,3.6970762278164884,0
block_L7,2.245449145726715,6.32718727421467,4.081738128487955,0
