sds,ci_lo,ci_hi,n_n,n_s,var,bucket,bucket_order
0.0506297886791967,-0.1197140652854497,0.42548037318937415,28,25,LE_corr,0-1d,0
0.004383748591748542,-0.29075080500797273,0.36457133838531125,24,21,LE_corr,2-3d,1
0.3841385209668594,0.10630369728813617,0.5055474429619264,27,22,LE_corr,4-7d,2
0.28260183416946866,0.14339843707500832,0.43464929093573884,21,28,LE_corr,8+d,3
0.14706779232349346,0.009828570241177594,0.3106979227310453,28,25,EF_corr,0-1d,0
0.0965788008389045,-0.10553492425716107,0.2735843490973141,24,21,EF_corr,2-3d,1
0.3026610269402071,0.23501652452216862,0.3634240967911896,27,22,EF_corr,4-7d,2
0.143676718782677,0.05649026333457787,0.25875154328931943,21,28,EF_corr,8+d,3
-0.11460347280537371,-0.6678927354192231,0.25673712094844786,28,25,ET,0-1d,0
-0.37732229516849075,-0.7165659816409568,0.3253091048018932,24,21,ET,2-3d,1
0.2628081487062099,-0.09539821638394784,0.4730304875990241,27,22,ET,4-7d,2
0.3045780458484313,0.028508743352229346,0.6056990514590453,21,28,ET,8+d,3
