date,SWC,LE,H,G,Rn,VPD,ET,EF,site,NDVI,GPP_proxy,phen
2020-06-18,10.45698924731183,177.0648379310345,49.50357236551724,34.5384903209876,306.7962621483376,3.3679,3.837875995,0.6503573313724125,Tarazona,0.39435,120.98510597819691,non_growing
2020-06-19,9.896874999999989,184.8817817241379,34.57329896551724,48.23721966790129,305.8360858541317,4.2399700000000005,3.60555744,0.7177119389589166,Tarazona,0.39435,120.60646045657683,non_growing
2020-06-20,9.7875,250.9446705263158,13.43192478947369,38.27815100000026,342.1300749956733,4.73548,5.3164213325,0.8258781686368041,Tarazona,0.391,133.77285932330827,non_growing
2020-06-21,10.359375,298.6804803448276,-19.10780274137931,38.58841492222224,337.0867025121893,5.27358,6.30339405,1.0006103644892959,Tarazona,0.391,131.80090068226602,non_growing
2020-06-22,9.60833333333333,235.2402033898305,0.5716387118644067,39.72039406222204,327.5409003238731,4.541600000000001,5.13982245,0.8173156473290997,Tarazona,0.391,128.06849202663437,non_growing
2020-06-23,8.915625,247.9965210526316,26.54074914736842,44.76264387654336,340.0460786236692,4.49176,5.231975225,0.8398592398690102,Tarazona,0.391,132.95801674185466,non_growing
2020-06-24,8.34062499999999,172.408025862069,-22.84344556896552,11.4073439755555,187.1602480251471,2.93584,3.6927774,0.9809682906486781,Tarazona,0.391,73.17965697783252,non_growing
2020-06-25,7.98645833333333,224.7515588421053,29.44314290561404,44.77005872839513,335.2287306501548,4.55546,4.7465584925,0.7737815412949565,Tarazona,0.391,131.07443368421053,non_growing
2020-06-26,8.26770833333333,216.7288830357143,-4.013480248214286,42.01832040740739,286.7534622827392,4.12691,4.492269675,0.8855650290962958,Tarazona,0.391,112.12060375255102,non_growing
2020-06-27,9.80104166666667,273.7148117543859,-3.496767543859649,33.35517559259279,325.4896077598087,4.60616,5.774272375,0.9369481362529469,Tarazona,0.391,127.2664366340852,non_growing
2020-06-28,11.40625,251.9005882758621,0.5986273637931034,48.51334966666668,338.1207307900672,4.84854,5.4316803675,0.869800304462987,Tarazona,0.391,132.20520573891628,non_growing
2020-06-29,10.55416666666667,267.9029846034483,-22.47236965517241,41.2261860246912,328.0834378252051,4.80393,5.768888424,0.9339243924352773,Tarazona,0.391,128.2806241896552,non_growing
2020-06-30,9.779166666666669,254.7991607142857,-19.5803375,41.16024864197536,328.0704899133567,4.48436,5.156337925,0.8880796990208427,Tarazona,0.391,128.27556155612248,non_growing
2020-07-01,9.13437499999999,319.1915717241379,-32.0181425862069,47.60808346913576,334.5742528378668,5.597060000000001,6.8737994875,1.1122968690919084,Tarazona,0.38745,129.63079426203151,non_growing
2020-07-02,8.53854166666667,292.8741030357143,-4.260001803571429,42.85267680246913,329.8606101634057,5.026,6.0842899125,1.0204390506077077,Tarazona,0.38745,127.80449340781153,non_growing
2020-07-03,8.04583333333334,219.6013841071428,46.54674628070175,43.96126381481495,326.137785698261,5.14245,4.563747385,0.7782411613885081,Tarazona,0.38745,126.36208506879122,non_growing
2020-07-04,7.676041666666671,203.0882254385965,43.94076561403509,40.63742577777793,324.6531032248139,5.73116,4.29741176,0.7150599124108878,Tarazona,0.38745,125.78684484445415,non_growing
2020-07-05,7.360416666666671,199.2039514285714,39.99676029824561,42.36274676543216,331.4268746097982,5.87587,4.4782093,0.6891341132989843,Tarazona,0.38745,128.41134256756632,non_growing
2020-07-06,7.103125,239.0842548214286,16.68273839285714,47.20895748148142,316.4066697113628,6.48623,4.9796528,0.8881362803605948,Tarazona,0.3839,121.46852050219218,non_growing
2020-07-07,6.816666666666659,247.8085840350877,17.60315028070175,42.9879716296294,330.3716261882328,6.158939999999999,5.25675163,0.8622918530829471,Tarazona,0.3839,126.82966729366258,non_growing
2020-07-08,6.503125,142.2384946296296,5.763172909090909,7.466660012345777,162.9703577573322,2.93398,2.83733715,0.9146952560760921,Tarazona,0.3839,62.56432034303984,non_growing
2020-07-09,7.1927083333333295,170.2574390566038,0.9880092452830188,30.45518768055541,217.9724679962223,2.92862,3.336678625,0.907955996215347,Tarazona,0.3839,83.67963046374975,non_growing
2020-07-10,7.26770833333333,209.412541754386,32.02229607017544,38.99605791358031,331.9597646481934,4.21066,4.3370049525,0.7148071141251857,Tarazona,0.3839,127.43935364844145,non_growing
2020-07-11,7.05729166666666,210.1922929824561,47.96876894736842,40.60598146913579,340.5103337627958,3.03473,4.4326973475,0.7008644301921975,Tarazona,0.3839,130.7219171315373,non_growing
2020-07-12,6.753125,128.1354205660377,14.8805266,9.114006296296257,171.7687832929219,1.90075,2.954500845,0.7877753296400015,Tarazona,0.3839,65.94203590615273,non_growing
2020-07-13,6.78854166666666,193.6132335087719,32.63075438596491,39.09548538271608,310.6572023216609,3.75254,4.08149745,0.7129621792467232,Tarazona,0.3839,119.26129997128564,non_growing
2020-07-14,8.971875,144.7966493877551,26.02385096153846,8.450897076543047,188.4045809139709,2.37266,2.643163525,0.8046328716369374,Tarazona,0.3839,72.32851861287344,non_growing
2020-07-15,9.32916666666666,163.6209633333333,72.10623512280702,53.68512034567915,328.5123706196438,3.70032,3.37494637,0.5953593145156671,Tarazona,0.3839,126.11589908088125,non_growing
2020-07-16,9.10520833333333,185.6410223214286,49.11065439285714,56.10404356790113,328.302693747064,4.7157,3.8427478175,0.6820056682839482,Tarazona,0.3839,126.03540412949786,non_growing
2020-07-17,8.78645833333333,215.3272277777778,40.50216961111111,49.27262872839496,326.2917684900047,4.66562,4.339026525,0.77730090405695,Tarazona,0.36835,120.18957292329324,non_growing
2020-07-18,8.31770833333333,184.72332375,61.85606482142857,54.73122165432089,334.7630145232006,5.36695,3.86055702,0.6596512555147397,Tarazona,0.36835,123.30995639962094,non_growing
2020-07-19,10.43333333333333,199.4899084615384,23.70559845454546,35.85705546913564,286.3970779552928,4.0104,3.8547467875,0.796239684510129,Tarazona,0.36835,105.49436366483211,non_growing
2020-07-20,9.703125,202.2070648214286,17.713373375,57.0859601358024,309.5392293700089,4.900510000000001,4.20200571,0.8009682957753127,Tarazona,0.36835,114.01877513844279,non_growing
