driver,pearson_r,pearson_p,spearman_r,spearman_p,n
n_compound_days,-0.904805221384783,0.09519477861521697,-0.6000000000000001,0.4,4
total_rain_mm,-0.5849913445152455,0.4150086554847545,-0.39999999999999997,0.6,4
mean_irrig_event,0.5052696611411283,0.49473033885887174,0.39999999999999997,0.6,4
mean_le_normal,0.6341546962762922,0.5626964663430772,1.0,0.0,3
vpd_mean,0.34744809321308784,0.6525519067869121,0.39999999999999997,0.6,4
total_irrig_mm,0.318826656216046,0.681173343783954,0.19999999999999998,0.8,4
n_irrig_events,-0.18998283978902886,0.8100171602109711,-0.39999999999999997,0.6,4
vpd_p90,0.10205801501252447,0.8979419849874755,0.19999999999999998,0.8,4
