site,date,is_growing,H,LE,LE_corr,H_corr,G,ET,VPD,SWC_mean,GPP_proxy,EF_corr,Bowen_corr,swc_th,vpd_th,drought_type,Irrig_mm,Rain_mm,IrrigRain_mm,days_since_irrig,bucket
Oran,2018-01-01,True,0.9407501687500002,15.666822091666667,21.240585395623395,1.2754395357505308,-13.4968061875,1.2052458125524326,5.124524729166667,13.19439611111111,-0.014536890854166666,0.9433541426766974,0.060047287397895076,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-02,True,-2.4719371875,6.598005159375,8.945368193273426,-3.3513748108264405,-2.694706666666667,0.5508804190392735,4.393803,12.895741666666666,-0.019291294645833335,1.5991023910293662,-0.37464917468087516,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-03,True,5.457809789166667,2.13944265125,2.9005891601389995,7.399527116703943,2.936559491666667,0.35760210063169107,3.4122809375,12.927618125,-0.0225300956875,0.2816074190016863,2.5510428082649765,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-04,True,23.19894616666667,7.6081265,10.314858985340269,31.452402679906395,6.885801355833333,0.5340056058173339,3.7534866250000003,13.020482361111112,-0.01913666825,0.24696038414036048,3.0492324446322847,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-05,True,17.406296541666666,9.395367370833332,12.737944032031143,23.59891022899102,-12.50146608125,0.688350789642568,4.7495951666666665,12.614751666666665,-0.01688049975,0.35055164490930873,1.85264671988263,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-06,True,-3.3267091229166668,15.181162347916667,20.58214316656244,-4.510247757858709,-11.305374670833332,1.0742050869810016,2.9885928125,12.549760000000001,-0.009257295645833333,1.2806294866389052,-0.21913401929814655,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-07,True,21.483327833333334,19.831297062916665,26.88664978170093,29.126421220344984,-14.774901875,1.4057805078359042,3.282149125,13.610337569444445,-0.01646636270833333,0.4800067073758351,1.0833042218658437,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-08,True,29.585876011666667,8.700051761875,11.795256964891657,40.11160159049708,-10.754002729166666,0.6374952502541787,2.6835154375,13.03248888888889,-0.009675833291666667,0.22723889083569143,3.400655170963079,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-09,True,7.995603958333334,8.955775055625,12.141958575899045,10.84018875512083,-9.219585135416667,0.6594717336350617,2.8025808333333333,12.458555486111111,-0.007898815104166667,0.5283213270289405,0.892787492838088,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-10,True,-2.873127215909091,26.28835662272727,35.640928357298975,-3.8952956524902094,3.7492722034090904,1.734385558509096,3.313385681818182,13.75486371212121,-0.01721116868181818,1.1227033554098973,-0.10929276626691696,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-11,True,-0.6911252083333329,22.59620575,30.635226151271926,-0.9370058535662157,-13.030570270833332,1.5707012418684145,3.5392885416666666,15.847372569444445,-0.024050574187500003,1.0315509092522492,-0.030585896410211835,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-12,True,15.36746075,9.973425731875,13.521657404757228,20.83472068964697,-10.623119714583334,0.7219443885470549,3.5919097291666664,14.399196597222222,-0.012923850104166667,0.3935705145519856,1.5408407465135776,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-13,True,3.2977229458333333,11.053787776666667,14.98637833771489,4.470949209242478,-5.3828459125,0.8011962338193382,3.9919848333333334,13.761200694444446,-0.005407228166666667,0.7702177136889685,0.29833420113189296,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-14,True,0.8912514854166663,15.426792339791668,20.915160595854775,1.2083307753292438,-2.3606252277083333,1.0778632790506089,2.8582849791666667,13.904758472222221,-0.015797079333333335,0.9453824554607551,0.057772961856612556,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-15,True,23.653266918750003,8.273583181666666,11.217064256538656,32.06835648822614,-8.295490916666667,0.6280928601806025,2.979996020833333,13.836927569444443,-0.010681902604166666,0.2591418556996542,2.858890325918641,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-16,True,18.167595490416666,10.45758484625,14.178065127636883,24.631055436098716,-5.544475066666667,0.8357519318316414,4.4095507708333335,13.455932569444444,-0.017522169229166665,0.36532817342130885,1.7372649380828509,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-17,True,21.47568247291667,5.708794785416667,7.739804692760928,29.11605588078471,1.325553458333334,0.5034441591379076,4.131837583333334,13.320359583333333,-0.014630408458333334,0.2100020070706583,3.761859250533425,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-18,True,26.512359495833334,6.591526158333333,8.93658416712577,35.94462441813604,-3.0821340187499993,0.5727342146105113,3.7556910416666667,13.055285277777777,-0.0138065603125,0.1991163885470853,4.022188315571667,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
Oran,2018-01-19,True,8.688819425,5.991967778749999,8.123721744441132,11.780028515293523,-5.215985854166667,0.5020820901738856,4.323402458333333,12.866722083333334,-0.012998416812500002,0.40815030526560836,1.4500777951133437,17.43303296,10.551727677355073,soil dry,0.0,0.0,0.0,,
