stratum,tau,ci_lo,ci_hi,n_events
Oran winter (Nov-Feb),3.287951165685525,1.5855431027088243,5.533224127976053,6
Oran summer (Jun-Aug),3.7897732277888054,1.04529679988501,6.597441374661555,4
Oran active (Nov-Jun pool),2.8208494464090035,1.8130096425993822,5.335779029345937,10
Tarazona active (Jun-Sep),3.3562168373679078,2.415292382011544,4.825302156664365,41
