threshold,le_inf,n_inf,tau,r2,success
7,117.1493680340793,115,3.061686890944496,0.8344088920953885,True
8,113.68042705871875,101,3.3152388781595428,0.8482586456825225,True
10,113.48610367680875,77,3.330214008382481,0.848881117141967,True
12,112.78410954324094,58,3.385053057534702,0.8510055997910463,True
15,118.4667055201364,40,2.9720030070421606,0.8276602138344924,True
