model,aic,r2,sse,k
exponential,77.32800014909624,0.848881117141967,2635.3509131491915,2
linear,85.06247813339648,0.7374268935777315,4578.992794887262,2
power,81.26575780904724,0.8264478566673816,3026.5628673306655,3
logistic,77.59259315104131,0.8842709080933866,2018.1909915290798,4
